part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
0020-64722,4876R54,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,,,, 203,
0020-64722,4876R54,10,LYNX 26Y,LYNX 2600Y (Turnmill),0.75,1.00,16.92,16.85,4.98,353.40,268.23,17.85,3213.00,180,203,
0020-64722,4876R54,20,CNCV FAN M,CNCV Fanuc Milling,0.50,1.30,5.08,5.08,1.50,111.60,74.26,6.38,784.74,123,203,
0020-64722,4876R54,800,DEBUR,,0.10,0.00,6.77,3.55,1.05,82.44,28.40,3.55,255.60,72,203,
0020-64722,4876R54,30,DNM 57004X,DOOSAN DNM 5700 4-Axis VMC,1.00,1.00,20.30,20.30,6.00,426.00,255.10,21.30,3344.10,157,203,
0020-64722,4876R54,999,INSPECTASY,,0.10,0.00,20.30,4.78,1.41,306.00,43.02,4.78,473.22,,203,
0021-53926,3711R49,05,PLANNING,,0.40,0.00,0.00,0.00,,14.00,0.00,,,,40,
0021-53926,3711R49,10,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,22.67,22.66,34.00,463.40,219.27,23.16,2848.68,123,40,
0021-53926,3711R49,20,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,40.00,40.00,60.00,810.00,373.97,40.50,4981.50,123,40,
0021-53926,3711R49,30,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,12.00,12.00,18.00,250.00,118.55,12.50,1537.50,123,40,
0021-53926,3711R49,40,CNCV FAN M,CNCV Fanuc L (Milling),1.50,1.50,30.00,30.00,45.00,630.00,300.20,31.50,3874.50,123,40,
0021-53926,3711R49,50,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,26.67,30.62,40.83,543.40,188.79,31.12,3827.76,123,45,
0021-53926,3711R49,800,DEBUR,,0.10,0.00,10.00,3.67,5.81,121.20,0.00,3.67,264.24,72,39,
0022-09112,3335R16,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,,,,18,
0022-09112,3335R16,10,CNCTM TAK,Takisawa Turnmill,2.00,2.00,1.20,1.20,4.00,64.00,28.80,3.20,576.00,180,18,
0022-09112,3335R16,20,CNCTM TAK,Takisawa Turnmill,2.00,2.00,5.40,5.40,18.00,148.00,134.47,7.40,1332.00,180,18,
0022-09112,3335R16,800,DEBUR,,0.10,0.00,0.90,1.23,4.10,12.00,9.75,1.23,88.56,72,18,
0022-09112,3335R16,810,PART MARK,,0.10,0.00,0.60,0.60,2.00,8.40,5.77,0.60,43.20,72,18,
0022-09112,3335R16,995,INSPECTIPQ,,0.10,0.00,0.10,0.37,1.23,3.00,4.07,0.37,36.63,,18,
0022-09112,3335R16,999,INSPECTASY,,0.00,0.00,0.90,0.18,0.60,13.50,0.00,0.18,17.82,,18,
0022-09112,3335R16,AMAT PKG,PKG CLN10K,,0.10,0.00,0.60,1.32,4.40,14.00,11.42,1.32,183.48,,18,
