part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
0020-64722,10,N1,Stopper/datum,OD Turn 80deg,turning insert,,,31,48,,,,2000,,,,LYNX 26Y,xls_setup
0020-64722,10,N2,OD rough,OD Turn 80deg (CNGG120404-MJ HTi10),turning insert,,,31,48,,,0.25,2000,,,,LYNX 26Y,xls_setup
0020-64722,10,N3,OD finish + back chamfer,OD Turn 35 (VCGX110302-LC),turning insert,,,29,33,,,0.06,1000,,,,LYNX 26Y,xls_setup
0020-64722,10,N4 N5,Mill rough + semi-finish step,10mm Endmill 2FL,end_mill,10,2,28.5,40,,200,,1000,,,,LYNX 26Y,xls_setup
0020-64722,10,N6,Mill step finish,12mm Endmill 2FL,end_mill,12,2,28.5,75,,200,,2000,,,,LYNX 26Y,xls_setup
0020-64722,10,N7,Back chamfer,OD Turn 35 (finish),turning insert,,,29,33,,,,1000,,,,LYNX 26Y,xls_setup
0020-64722,10,N8,Parting,Parting (WARK TDJ7D TT9030),parting insert,,,32,48,,,0.08,1000,,,,LYNX 26Y,xls_setup
0020-64722,20,1,Fly top face height control 1.080in,16mm Endmill 2FL ONSRUD,end_mill,16,2,35,50,-27.43,750,,6000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,20,2,FAP11430 T-slot cutter,FAP11430 T-Slot Cutter,t_slot,14,4,4.27,30,-22.57,500,,6000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,1,2mm flat EM (drill entry),2mm Flat End Mill,end_mill,2,4,15,25,-21.08,100,,3000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,2,Drill 2.3mm for 4-40UNC,2.3mm Carbide Drill CL20 Dura,drill,2.3,2,20,25,-21.08,100,,3000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,3,Tap 4-40UNC,4-40UNC CL-20 Spiral Tap Dura,tap,2.845,2,20,25,-21.08,190.5,,300,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,4,Entry hole / helix bore 1.2mm,1.2mm End Mill CL5 NL6-SHD3-TP30-2F,end_mill,1.2,2,4,25,-72.5,150,,6000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,5,Carbide drill 1.6mm,Carbide Drill 1.6mm Dura,drill,1.6,2,12,20,-65.47,30,,3500,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,6,Ream 1.778mm bore,Carbide Reamer 1.778 CL8.5 Shk3 TL50 YOCON,reamer,1.778,6,8.5,30,-67.69,25,,500,,,PEEK,DNM 5700 4X,pdf_setup
