part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
0041-62474,2958R01,PLAN,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,57.50,115.00,20,28-Jun-17
0041-62474,2958R01,10,CNCR BARNY,,0.30,0.00,1.33,0.00,4.0,32.60,0.00,1.63,373.27,229.00,20,28-Jun-17
0041-62474,2958R01,20,CNCR BARNY,,0.30,0.00,10.00,0.00,30.0,206.00,0.00,10.30,2358.70,229.00,20,28-Jun-17
0041-62474,2958R01,30,CNCV MAK,,1.00,0.00,1.67,0.00,5.0,53.40,0.00,2.67,293.70,110.00,20,28-Jun-17
0041-62474,2958R01,40,CNCL TAK,,0.50,0.00,1.67,0.00,5.0,43.40,0.00,2.17,316.82,146.00,20,28-Jun-17
0041-62474,2958R01,50,CNCL TAK,,0.50,0.00,2.00,0.00,6.0,50.00,0.00,2.50,365.00,146.00,20,28-Jun-17
0041-62474,2958R01,60,FAB,,0.20,0.00,8.33,0.00,25.0,102.36,0.00,8.53,784.76,92.00,20,28-Jun-17
0041-62474,2958R01,INSP,INSPECT,,0.30,0.00,3.33,0.00,,54.45,0.00,3.63,446.49,123.00,20,28-Jun-17
0041-62474,2958R01,PKG,PKG,,0.30,0.00,1.67,0.00,,23.64,0.00,1.97,124.11,63.00,20,28-Jun-17
0041-62474,2958R01,SHIP,SHIPPING,,0.10,0.00,0.67,0.00,,9.24,0.00,0.77,48.51,63.00,20,28-Jun-17
0041-62474,2958R01,ASSY1,ASSY2,,0.20,0.00,36.67,0.00,110.0,442.44,0.00,36.87,5419.89,147.00,20,28-Jun-17
0041-62474,2958R01,ASSY2,ASSY2,,0.10,0.00,3.33,0.00,10.0,41.16,0.00,3.43,504.21,147.00,20,28-Jun-17
0042-15176,4189R01,800,SAW,,0.10,0.00,0.67,3.80,38.0,9.24,38.38,3.80,273.60,72.00,6,25-Mar-19
0042-15176,4189R01,10,CNCV FAN V,Fanuc Vaccum,0.50,0.00,5.33,7.48,74.8,116.60,75.55,7.48,920.04,123.00,6,25-Mar-19
0042-15176,4189R01,20,CNCV FAN V,Fanuc Vaccum,0.50,0.00,6.00,10.60,106.0,130.00,107.06,10.60,1303.80,123.00,6,25-Mar-19
0042-15176,4189R01,30,CNCV FAN V,Fanuc Vaccum,0.50,0.00,10.67,0.00,,223.40,0.00,11.17,1373.91,123.00,6,25-Mar-19
0042-15176,4189R01,810,DEBUR,,0.10,0.00,2.00,2.03,20.3,25.20,10.35,2.10,151.20,72.00,6,25-Mar-19
0042-15176,4189R01,40,CNCL NAK,,0.50,0.00,0.40,1.07,10.7,18.00,9.31,1.07,120.91,113.00,6,25-Mar-19
0042-15176,4189R01,820,ASSY1,,0.10,0.00,0.40,0.77,7.7,6.00,8.86,0.77,55.44,72.00,6,25-Mar-19
0042-15176,4189R01,830,PART MARK,,0.10,0.00,0.27,0.53,5.3,4.44,4.24,0.53,38.16,72.00,6,25-Mar-19
0042-15176,4189R01,999,INSPECT,,0.00,0.00,1.60,0.50,5.0,24.00,4.00,1.60,158.40,99.00,6,25-Mar-19
0042-15176,4189R01,PKG,PKG AMAT,,0.10,0.00,0.27,0.00,,4.44,0.00,0.37,23.31,63.00,6,25-Mar-19
0200-02605,4957R26,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,57.50,115.00,42,15-Dec-25
0200-02605,4957R26,10,CNCTM TAK,NEX-108Y,3.50,4.50,9.10,9.10,13.0,252.00,168.59,13.60,2448.00,180.00,42,15-Dec-25
0200-02605,4957R26,20,CNCTM TAK,NEX-108Y,2.00,2.00,2.80,2.80,4.0,96.00,111.07,4.80,864.00,180.00,42,15-Dec-25
0200-02605,4957R26,800,DEBUR,,0.10,0.00,2.10,1.55,2.2,26.40,15.50,2.20,158.40,72.00,42,15-Dec-25
0200-02605,4957R26,995,INSPECTIPQ,,0.10,0.00,0.10,1.73,2.5,3.00,15.57,1.73,171.27,99.00,42,15-Dec-25
0200-02605,4957R26,PQR,INSPECT,,0.00,0.00,3.50,1.05,1.5,52.50,9.45,3.50,346.50,99.00,42,15-Dec-25
0200-02605,4957R26,MARK,PART MARK,,0.10,0.00,1.40,3.87,5.5,18.00,37.23,3.87,278.64,72.00,42,15-Dec-25
0200-02605,4957R26,999,INSPECTASY,,0.10,0.00,2.10,0.25,0.4,33.00,0.00,2.20,217.80,99.00,42,15-Dec-25
0200-02605,4957R26,PKG,PKG CLN10K,,0.10,0.00,0.70,1.67,2.4,16.00,0.00,1.67,232.13,139.00,42,15-Dec-25
