part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
713-226789-201,8383R10,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.50,0.00,,56,04-Feb-25
713-226789-201,8383R10,09,CNCV FAN M,,0.50,1.56,2.80,2.80,3.00,66.00,39.80,4.36,536.28,123.0,56,04-Feb-25
713-226789-201,8383R10,10,DVF 5000,HAAS UMC-750 5-axis,1.00,3.42,38.73,38.75,41.52,1191.90,548.21,42.17,11554.58,274.0,56,04-Feb-25
713-226789-201,8383R10,800,DEBUR,,0.10,0.00,4.67,4.67,5.00,57.24,37.36,4.67,336.24,72.0,56,04-Feb-25
713-226789-201,8383R10,20,CNCV FAN M,,0.50,1.50,9.80,9.80,10.50,206.00,144.80,11.30,1389.90,123.0,56,04-Feb-25
713-226789-201,8383R10,810,DEBUR,,0.10,0.00,2.80,2.53,2.71,34.80,20.24,2.53,182.16,72.0,56,04-Feb-25
713-226789-201,8383R10,995,INSPECTIPQ,,0.10,0.00,0.00,1.62,1.74,1.50,14.58,1.62,160.38,99.0,56,04-Feb-25
713-226789-201,8383R10,820,ASSY1,,0.10,0.00,8.40,5.00,5.36,102.00,45.00,5.00,360.00,72.0,56,04-Feb-25
713-226789-201,8383R10,998,INSPECT,,0.20,0.00,4.67,2.37,2.54,73.05,21.64,2.37,234.63,99.0,56,04-Feb-25
713-226789-201,8383R10,999,INSPECTASY,,0.20,0.00,2.80,0.53,0.57,45.00,6.10,0.53,52.47,99.0,56,04-Feb-25
713-226789-201,8383R10,LAM-PACK,PKG CLN10K,,0.10,0.00,1.87,2.77,2.97,39.40,23.96,2.77,385.03,139.0,56,04-Feb-25
713-323740-001,9855R16,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.50,0.00,,147,07-Jan-26
713-323740-001,9855R16,10,LYNX21LYSB,DOOSAN LYNX 2100 LYSB,4.50,5.68,49.00,49.00,20.00,1070.00,541.78,54.68,9842.40,180.0,147,07-Jan-26
713-323740-001,9855R16,800,DEBUR,,0.10,0.00,12.25,1.53,0.62,148.20,15.30,1.53,110.16,72.0,147,07-Jan-26
713-323740-001,9855R16,997,INSPECTLAB,,0.10,0.00,0.20,0.85,0.35,4.50,10.83,0.85,84.15,99.0,147,07-Jan-26
713-323740-001,9855R16,991,INSPECTIQC,,0.10,0.00,0.30,0.30,0.12,6.00,3.90,0.30,29.70,99.0,147,07-Jan-26
