part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
713-226789-201,09,1-6,rough+fin slot 7.00,6MM FLAT END MILL 2F ONSRUD,end_mill,6,2,25,35,-3.0,650-1500,,5000-8000,,,PEEK,CNCV FAN M,2267_OP09_setup_sheet
713-226789-201,09,7-8,dovetail groove for vise,DOVETAIL CUTTER Ø12×60° FAP11481,dovetail,12,4,6,35,-3.0,500,,5000,,,PEEK,CNCV FAN M,2267_OP09_setup_sheet
713-226789-201,09,9-10,mark side,3MM FLAT END MILL 2F,end_mill,3,2,8,20,-2.0,850,,6000,,,PEEK,CNCV FAN M,2267_OP09_setup_sheet
713-226789-201,10,11-13,rough facing+OD,16MM FLAT END MILL 2F ONSRUD,end_mill,16,2,50,85,-80.5,1000-2500,,6000-8000,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
713-226789-201,10,14-19,rough Ø20.68 bores+pockets+Ø10.70,10MM END MILL 4F COATED,end_mill,10,2,35,40,-75.2,250-650,,6000,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
713-226789-201,10,20-28,facing+fin Ø20.68 bore+fin rad R0.38,CARB BULLMILL Ø10 R0.5 4F COATED,bull_mill,10,4,25,40,-2.71,650-3500,,5000-8000,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
713-226789-201,10,23-29,fin rad R1.30,6MM BALL NOSE 2F,ball_mill,6,2,20,30,-72.7,4000,,8000,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
713-226789-201,10,24-31,drill Ø10.70 (4× holes),CARB DRILL Ø10.70 TL118 coated WALTER,drill,10.7,2,25,75,-69.3,100,,1350,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
713-226789-201,10,32-33,fin full-radius bottom hole,CARB BALLNOSE Ø10 LONG SERIES 2F coated,ball_mill,10,4,30,65,-66.4,250,,3000,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
713-226789-201,10,34,spot for M5 helicoil,12MM SPOT 90° CHAMFER [S2DSO-090-120U],spot_drill,12,2,20,50,-3.05,200,,4000,,,PEEK,DVF 5000 (HAAS UMC-750),2268_OP10_setup_sheet
