part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
16-408773-00,10904R14-3,09,CNCV FAN V,CNCV FAN V,0.50,0.50,1.35,1.84,4.09,37.00,23.35,2.34,287.82,123,27,12-Jan-26
16-408773-00,10904R14-3,10,CNCV FAN V,CNCV FAN V,0.50,0.50,39.15,39.15,87.00,793.00,391.48,39.65,4876.95,123,27,12-Jan-26
16-408773-00,10904R14-3,810,DEBUR,DEBUR,0.10,0.00,4.50,2.57,5.71,55.20,0.00,2.57,185.04,72,27,12-Jan-26
16-408773-00,10904R14-2,10,CNCR EXACT,CNCR EXACT,0.50,1.00,4.05,4.05,9.00,91.00,55.46,5.05,914.05,181,27,12-Jan-26
16-408773-00,10904R14-2,20,EXXACT1616,EXXACT1616,0.50,0.50,15.75,15.75,35.00,325.00,186.75,16.25,2941.25,181,27,12-Jan-26
16-408773-00,10904R14-2,800,DEBUR,DEBUR,0.10,0.00,0.90,2.32,5.16,12.00,18.56,2.32,167.04,72,27,12-Jan-26
16-408773-00,10904R14-1,10,CNCR EXACT,CNCR EXACT,0.50,0.50,1.80,1.80,4.00,46.00,18.40,2.30,416.30,181,27,12-Jan-26
16-408773-00,10904R14-1,800,DEBUR,DEBUR,0.10,0.00,0.90,1.15,2.56,12.00,9.20,1.15,82.80,72,27,12-Jan-26
16-408773-00,10904R14,800,WELD,WELD,0.50,0.00,81.00,61.90,137.56,2445.00,655.36,61.90,8789.80,142,27,12-Jan-26
16-408773-00,10904R14,10,DNM 57004X,DNM 5700 4X,0.50,1.00,12.60,12.60,28.00,262.00,141.67,13.60,2135.20,157,27,12-Jan-26
16-408773-00,10904R14,20,DNM 57004X,DNM 5700 4X,1.00,3.00,20.25,20.25,45.00,425.00,236.25,24.25,3807.25,157,27,12-Jan-26
16-455529-00,8729R04-1,10,CNCL TAK,CNCL TAK,1.00,1.70,1.63,3.26,27.94,52.60,44.64,4.96,560.48,113,10,25-Sep-23
16-455529-00,8729R04-1,20,DVF 5000,DVF 5000,1.00,3.00,0.82,1.23,7.38,54.60,54.99,4.23,1159.02,274,10,25-Sep-23
16-455529-00,8729R04-1,800,DEBUR,DEBUR,0.10,0.00,0.12,0.14,1.20,2.64,1.28,0.14,10.08,72,10,25-Sep-23
16-455529-00,8729R04-2,10,DNM 6700,DNM 6700,0.50,0.50,0.47,0.47,4.03,19.40,14.55,0.97,173.63,179,7,25-Sep-23
16-455529-00,8729R04-2,20,DVF 5000,DVF 5000,0.50,2.00,1.09,1.09,9.34,47.70,40.17,3.09,846.66,274,7,25-Sep-23
16-455529-00,8729R04-2,30,CNCV FAN M,CNCV FAN M,0.50,0.50,0.58,0.58,4.97,21.60,12.96,1.08,132.84,123,7,25-Sep-23
16-455529-00,8729R04-2,800,DEBUR,DEBUR,0.10,0.00,0.12,0.93,7.97,2.64,7.44,0.93,66.96,72,7,25-Sep-23
839-297424-004,15763R34-1,10,CNCR EXACT,CNCR EXACT,0.50,0.50,1.20,1.20,12.00,34.00,16.34,1.70,307.70,181,6,13-Jan-26
839-297424-004,15763R34-1,20,CNCR EXACT,CNCR EXACT,0.50,0.00,6.50,6.50,65.00,140.00,71.50,6.50,1176.50,181,6,13-Jan-26
839-297424-004,15763R34-1,800,DEBUR,DEBUR,0.10,0.00,2.00,1.50,15.00,25.20,12.26,1.50,108.00,72,6,13-Jan-26
839-297424-004,15763R34-2,10,CNCR EXACT,CNCR EXACT,0.50,0.50,2.70,2.70,27.00,64.00,35.95,3.20,579.20,181,6,13-Jan-26
839-297424-004,15763R34-2,20,CNCR EXACT,CNCR EXACT,0.50,0.60,7.50,7.50,75.00,160.00,105.30,8.10,1466.10,181,6,13-Jan-26
839-297424-004,15763R34-2,30,CNCR EXACT,CNCR EXACT,0.50,0.50,2.20,2.20,22.00,54.00,36.34,2.70,488.70,181,6,13-Jan-26
839-297424-004,15763R34-2,40,CNCR EXACT,CNCR EXACT,0.50,0.00,7.50,7.50,75.00,160.00,84.00,7.50,1357.50,181,6,13-Jan-26
839-297424-004,15763R34-2,50,CNCV FAN M,CNCV FAN M,1.00,1.00,0.20,0.20,2.00,24.00,13.20,1.20,147.60,123,6,13-Jan-26
839-297424-004,15763R34-2,60,DNM 6700,DNM 6700,0.50,0.50,0.10,0.10,1.00,12.00,7.64,0.60,94.20,157,6,13-Jan-26
839-297424-004,15763R34-2,800,DEBUR,DEBUR,0.10,0.00,4.50,11.50,115.00,55.20,72.55,11.50,828.00,72,6,13-Jan-26
839-297424-004,15763R34,820,WELD,WELD,0.10,0.00,78.00,84.05,840.50,2343.00,957.28,84.05,11935.10,142,6,13-Jan-26
