part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
16-408773-00,OP09-ITEM1,CNCV FAN V,facing THK 37.50mm,face_mill,1,3.0,4.09,4.1,1.00,1,NC 4090; k~1.0 for simple face op
16-408773-00,OP10-ITEM1,CNCV FAN V,oval OD+pockets+slots+20deg+bore+chamfer+drill+engrave,multi,2,,87.00,67.5,1.29,16,NC 4091 67.5min vs JC actual 87.0 -> k=1.29
16-408773-00,OP10-ITEM2-A,CNCR EXACT,facing+OD+20deg+hole+cut,multi,1,9.0,9.00,21.7,0.41,7,NC 4088 21.7min vs JC 9.0min; NC inflated (repeated pass blocks); unreliable k
16-408773-00,OP20-ITEM2,EXXACT1616,facing+OD+slots+angles+ID+cut,multi,2,35.0,35.00,91.6,0.38,20,NC 4089 91.6min vs JC 35.0min; same NC repetition issue; k=0.38 not reliable
16-408773-00,OP10-ITEM3,CNCR EXACT,lathe OD rough+fin+part,lathe,1,4.0,4.00,10.5,0.38,3,NC 4087; lathe repeat passes inflate NC
16-408773-00,OP10-ASSEMBLY,DNM 5700 4X,post-weld machining OP10,multi,3,28.0,28.00,,, ,Assembly JC; 12.6hr/27pc=28min/pc
16-408773-00,OP20-ASSEMBLY,DNM 5700 4X,post-weld machining OP20,multi,4,45.0,45.00,32.6,0.72,30+,NC 4093 32.6min vs JC 45min; k=0.72 DNM5700 post-weld
16-455529-00,OP10-ITEM1,CNCL TAK,OD turning + bore + parting,lathe,1,,19.6,,, 3,QtyRun=10 (3 extra vs OrderQty=7); run_hr 3.26/10pc=19.6min/pc
16-455529-00,OP20-ITEM1,DVF 5000,faces+OD+holes+bore+slot+chamfer,multi,2,,7.38,18.9,0.39,17,NC 4561-DOOSAN 18.9min vs JC 7.4min (QtyRun=10); k=0.39 anomalous; DVF5000 5-axis
16-455529-00,OP10-ITEM2,DNM 6700,facing+OD rough+fin+R5+cut,multi,1,4.0,4.03,44.4,0.09,6,NC 4558 44.4min vs JC 4.0min; NC has 76 ops many redundant -> k=0.09 not reliable
16-455529-00,OP20-ITEM2,DVF 5000,contour+holes+drills+chamfer,multi,2,9.3,9.34,19.8,0.47,14+,NC 4559 19.8min vs JC 9.3min; k=0.47 moderate; DVF5000 5-axis
16-455529-00,OP30-ITEM2,CNCV FAN M,engrave part number,engrave,3,5.0,4.97,1.1,4.52,1,NC 4560 1.1min vs JC 5.0min; engrave actual much slower than NC est (PP burr/care)
839-297424-004,OP10-THK19.05,CNCR EXACT,cut-to-size+chamfer+engrave+registration+ref hole,multi,1,21.2,27.00,21.2,1.27,9,NC 2976 REV-C; k=1.27 for CNCR EXXACT 1616 plate profiling
839-297424-004,OP20-THK19.05,CNCR EXXACT 1616,OD+helicoil holes+NPT taps+poka yoke+fin,multi,2,51.0,75.00,53.5,1.40,15,NC 2977 REV-C; k=1.40 for complex drilling+tapping
839-297424-004,OP30-THK19.05,CNCR EXXACT 1616,back-side OD+pocket+chamfer+engrave+ref hole,multi,3,16.3,22.00,16.3,1.35,9,NC 2978 REV-C; k=1.35
839-297424-004,OP40-THK19.05,CNCR EXXACT 1616,side-face OD+pockets+helicoil+engrave,multi,4,45.6,75.00,45.6,1.64,~12,NC 2979 REV-C; k=1.64 (engrave inflates actual)
839-297424-004,OP50-THK19.05,CNCV FAN M,helicoil 8-32 thread insert,thread_mill,5,2.8,2.00,2.8,1.40,3,NC 2980 REV-C; 2 positions; k~1.4 consistent
839-297424-004,OP60-THK19.05,DNM 6700,engrave part number,engrave,6,1.3,1.00,1.3,1.30,1,NC 2981 REV-C; k~1.3
839-297424-004,OP10-THK12.70,CNCR EXACT,cut-to-size+chamfer+ref hole,multi,1,22.2,12.00,22.2,0.54,3,NC 2974 REV-C; k=0.54; thinner plate faster actual vs NC
839-297424-004,OP20-THK12.70,CNCR EXXACT 1616,OD+taps+helicoils,multi,2,106.3,65.00,106.3,0.61,10+,NC 2975 REV-C; k=0.61; many tap passes inflate NC vs simple plate actual
