part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
16-408773-00,OP10-ITEM1,N1,ROUGH TOP,50mm Facemill 45deg,facemill,45,4,40,40,-10.0,800,,5000,,,PP,CNCV FAN V,4091 setup sheet
16-408773-00,OP10-ITEM1,N2,ROUGH OD+POCKETS+SLOT,12MM ENDMILL 2F,end_mill,12,2,25,50,-35.4,250-4000,,8000,,,PP,CNCV FAN V,4091 setup sheet
16-408773-00,OP10-ITEM1,N3,ROUGH SLOT 0.130,3MM ENDMILL 2F,end_mill,3,2,8,20,-3.0,250,,6000,0.15,3.0,PP,CNCV FAN V,4091 setup sheet
16-408773-00,OP10-ITEM1,N4,FIN SURFACES,10MM ENDMILL 2F FULLERTON,end_mill,10,2,25,40,-15.236,600-1000,,6000,,,PP,CNCV FAN V,4091 setup sheet
16-408773-00,OP10-ITEM1,N5,FIN ANGLE 20DEG,6MM BALLNOSE 2F,ball_mill,6,2,20,30,-2.197,4000,,8000,,,PP,CNCV FAN V,4091 setup sheet
16-408773-00,OP10-ITEM1,N6,CHAMFER TOP,6MM NC SPOTDRILL 90DEG,spot_drill,6,2,25,30,-1.196,1000,,6000,,,PP,CNCV FAN V,4091 setup sheet
16-408773-00,OP10-ITEM1,N7,HOLE 0.194,drill ~4.9mm,drill,4.9,2,,,, 150,,4000,,,PP,CNCV FAN V,NC 4091 est
16-408773-00,OP20-ITEM1,N1,ROUGH FACING (post-weld),2D highspeed EM,end_mill,,,,,, 2500,,8000,,,PP,DNM 5700 4X,NC 4093
16-408773-00,OP20-ITEM1,N2,CONTOUR OD (post-weld),dovetail cutter Dia7.51,specialty,7.51,2,,,,-800,,3500,,,PP,DNM 5700 4X,NC 4093 / dovetail spec PDF
16-408773-00,OP20-ITEM1,N8,ENGRAVE PN,engraving tool,engrave,,2,,,,-200,,8000,0,0.2,PP,DNM 5700 4X,NC 4093 op 29
