part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
839-A05168-102,14422R01,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.50,0.00,,4,07-May-26
839-A05168-102,14422R01,800,SAW MCH,,0.10,0.00,0.20,0.50,7.50,3.60,4.50,0.50,36.00,72.00,4,07-May-26
839-A05168-102,14422R01,810,DEBUR,,0.10,0.00,0.17,0.30,4.50,3.24,2.70,0.30,21.60,72.00,4,07-May-26
839-A05168-102,14422R01,820,WELD,,0.20,0.00,0.33,2.00,30.00,15.90,22.00,2.00,284.00,142.00,4,07-May-26
839-A05168-102,14422R01,830,SOCKET FUS,,0.30,0.00,2.33,2.45,36.75,135.87,23.57,2.45,395.78,161.54,4,07-May-26
839-A05168-102,14422R01,840,GF FUS,,0.50,0.00,5.13,4.72,70.80,290.85,72.59,4.72,1337.23,283.31,4,07-May-26
839-A05168-102,14422R01,850,WELD,,0.10,0.00,0.67,0.87,13.05,23.10,8.70,0.87,123.54,142.00,4,07-May-26
839-A05168-102,14422R01,910,LEAK TEST,,0.20,0.00,1.00,1.18,17.70,18.00,10.62,1.18,116.82,98.83,4,07-May-26
839-A05168-102,14422R01,LABELLING,PART MARK,,0.20,0.00,0.07,0.07,1.05,3.24,0.37,0.07,5.04,72.00,4,07-May-26
839-A05168-102,14422R01,999,INSPECT,,0.10,0.00,0.07,0.30,4.50,2.55,2.74,0.30,29.70,99.00,4,07-May-26
839-A05168-102,14422R01,FAIR,FAP FAIR,,0.00,0.00,3.00,0.15,2.25,0.00,1.37,0.15,0.00,,4,07-May-26
839-A05168-102,14422R01,LAM-PACK,ASSY3,,0.10,0.00,0.20,0.80,12.00,6.00,6.92,0.80,111.20,139.00,4,07-May-26
839-A05168-102,14557R02,05,PLANNING,,0.50,0.00,0.00,0.00,0.00,17.50,0.00,0.00,0.00,,13,07-May-26
839-A05168-102,14557R02,800,SAW MCH,,0.10,0.00,0.22,1.50,6.92,3.84,13.50,1.50,108.00,72.00,13,07-May-26
839-A05168-102,14557R02,10,CNCV MAK,,0.50,0.50,1.73,1.73,7.98,44.60,19.29,2.23,274.29,122.99,13,07-May-26
839-A05168-102,14557R02,800,DEBUR,,0.10,0.00,0.43,0.81,3.74,6.36,6.54,0.81,58.32,72.00,13,07-May-26
839-A05168-102,14557R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.80,3.69,6.00,0.00,0.80,79.20,99.00,13,07-May-26
839-A05168-102,14558R02,10,CNCR EXACT,,0.30,0.30,1.78,1.78,9.71,41.60,16.99,2.08,376.48,181.00,11,07-May-26
839-A05168-102,14558R02,800,DEBUR,,0.10,0.00,0.37,0.37,2.02,5.64,2.96,0.37,26.64,72.00,11,07-May-26
839-A05168-102,14558R02,995,INSPECTIPQ,,0.10,0.00,0.30,1.95,10.64,6.00,20.63,1.95,193.05,99.00,11,07-May-26
839-A05168-102,14559R02,10,CNCR EXACT,,0.30,0.30,0.26,0.26,1.73,11.20,4.57,0.56,101.36,181.00,9,07-May-26
839-A05168-102,14559R02,800,DEBUR,,0.10,0.00,0.15,1.32,8.80,3.00,0.16,1.32,95.04,72.00,9,07-May-26
839-A05168-102,14559R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.12,0.80,6.00,1.27,0.12,11.88,99.00,9,07-May-26
839-A05168-102,14560R02,09,CNCR EXACT,,0.30,0.50,0.30,0.30,2.00,12.00,8.46,0.80,144.80,181.00,9,07-May-26
839-A05168-102,14560R02,800,DEBUR,,0.10,0.00,0.30,0.20,1.33,4.80,1.44,0.20,14.40,72.00,9,07-May-26
839-A05168-102,14560R02,10,DNM 57004X,DOOSAN DNM 5700 4X,1.00,1.00,2.60,2.60,17.33,72.00,46.80,3.60,565.20,156.89,9,07-May-26
839-A05168-102,14560R02,20,DNM 57004X,DOOSAN DNM 5700 4X,0.30,0.30,1.35,1.35,9.00,33.00,21.45,1.65,259.05,157.00,9,07-May-26
839-A05168-102,14560R02,810,DEBUR,,0.10,0.00,0.15,0.85,5.67,3.00,0.00,0.85,61.20,72.00,9,07-May-26
839-A05168-102,14560R02,995,INSPECTIPQ,,0.10,0.00,0.30,0.22,1.47,6.00,2.33,0.22,21.78,99.00,9,07-May-26
839-A05168-102,14561R02,10,CNCL TAK,TAKISAWA NEX-108,1.50,1.60,0.76,0.75,3.46,45.20,0.00,2.35,265.55,112.96,13,07-May-26
839-A05168-102,14561R02,20,CNCL TAK,TAKISAWA NEX-108,1.00,1.00,0.33,0.32,1.48,26.60,0.00,1.32,149.16,113.00,13,07-May-26
