part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
839-A05168-102 ITEM1,10,1,cut length roughing,C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,-32.504,2000,,8000,,,NPP,CNCV MAK,setup_sheet+NC
839-A05168-102 ITEM1,10,2,Ø15.24 thru roughing,C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,-6.0,1000,,8000,,,NPP,CNCV MAK,setup_sheet+NC
839-A05168-102 ITEM1,10,3,cut length finishing,C-F-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,-32.304,1000,,5490,,,NPP,CNCV MAK,setup_sheet+NC
839-A05168-102 ITEM1,10,4,Ø15.24 thru finishing,C-F-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,-6.0,500,,5490,,,NPP,CNCV MAK,setup_sheet+NC
839-A05168-102 ITEM5,10,1,outline roughing,C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,,1000,,13500,,,NPP,CNCR EXACT,setup_sheet+NC
839-A05168-102 ITEM5,10,2,Ø15.24 roughing,C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,,1000,,13500,,,NPP,CNCR EXACT,setup_sheet+NC
839-A05168-102 ITEM5,10,3,outline finishing,C-F-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,,1000,,8000,,,NPP,CNCR EXACT,setup_sheet+NC
839-A05168-102 ITEM5,10,4,Ø15.24 finishing,C-F-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,,2000,,8000,,,NPP,CNCR EXACT,setup_sheet+NC
839-A05168-102 ITEM5,10,5,radius blend,D10MM BALL NOSE,ball_nose,10,2,,,,,, 8000,,,NPP,CNCR EXACT,NC
839-A05168-102 ITEM5,10,6,cut material,C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,50,,1000,,8000,,,NPP,CNCR EXACT,NC
