part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
0021-55284,2990R30,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,44,20-Aug-25
0021-55284,2990R30,10,CNCL TAK,NEX-110Y (TAK),1.50,1.50,4.40,4.40,6.00,118.00,53.10,5.90,666.70,113,44,20-Aug-25
0021-55284,2990R30,20,CNCL TAK,NEX-110Y (TAK),0.50,0.50,3.67,3.67,5.00,83.40,0.00,4.17,471.21,113,44,20-Aug-25
0021-55284,2990R30,40,CNCV FAN M,,0.30,1.50,3.67,3.67,5.00,79.40,49.69,3.97,488.31,123,44,20-Aug-25
0021-55284,2990R30,800,DEBUR,,0.00,0.00,3.67,3.28,4.47,44.04,26.24,3.28,236.16,72,44,20-Aug-25
0021-55284,2990R30,50,CNCV FAN M,,0.30,1.00,2.57,2.57,3.50,57.40,37.43,2.87,353.01,123,44,20-Aug-25
0021-55284,2990R30,810,DEBUR,,0.00,0.00,3.67,3.67,5.00,44.04,29.10,3.67,264.24,72,44,20-Aug-25
0021-55284,2990R30,999,INSPECTASY,,0.20,0.00,2.93,3.17,4.32,46.95,36.46,3.13,309.87,99,44,20-Aug-25
0022-26284,2965R23,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,10,22-Aug-25
0022-26284,2965R23,10,CNCV FAN V,,0.50,1.50,2.00,2.00,12.00,50.00,33.30,2.50,307.50,123,10,22-Aug-25
0022-26284,2965R23,800,DEBUR,,0.10,0.00,0.50,1.27,7.62,7.20,10.38,0.60,43.20,72,10,22-Aug-25
0022-26284,2965R23,995,INSPECTIPQ,,0.10,0.00,0.10,0.00,,3.00,0.00,0.20,0.00,,10,22-Aug-25
0022-26284,2965R23,810,PART MARK,,0.00,0.00,0.83,1.15,6.90,9.96,11.06,0.83,59.76,72,10,22-Aug-25
0022-26284,2965R23,999,INSPECTASY,,0.20,0.00,0.33,0.32,1.92,7.95,1.69,0.53,52.47,99,10,22-Aug-25
0022-26284,2965R23,AMAT PKG,PKG CLN10K,,0.10,0.00,0.50,0.48,2.88,12.00,3.84,0.60,83.40,139,10,22-Aug-25
0022-27201,5645R26,05,PLANNING,,1.00,0.00,0.00,0.00,,35.00,0.00,1.00,0.00,,102,23-Sep-24
0022-27201,5645R26,10,CNCL TAK,,0.50,3.75,13.60,13.60,8.00,282.00,156.65,14.10,1593.30,113,102,23-Sep-24
0022-27201,5645R26,20,CNCV MAK,Makino,0.10,0.50,1.70,2.60,1.00,36.00,39.83,1.80,221.40,123,156,23-Sep-24
0022-27201,5645R26,800,DEBUR,,0.00,0.00,5.10,4.00,2.35,61.20,32.00,5.10,367.20,72,102,23-Sep-24
0022-27201,5645R26,30,CNCV MAK,Makino,0.10,0.50,1.70,2.60,1.00,36.00,39.83,1.80,221.40,123,156,23-Sep-24
0022-27201,5645R26,40,CNCV MAK,Makino,0.30,0.60,1.70,2.60,1.00,40.00,41.13,2.00,246.00,123,156,23-Sep-24
0022-27201,5645R26,810,DEBUR,,0.10,0.00,8.50,5.00,2.94,103.20,40.00,8.60,619.20,72,102,23-Sep-24
0022-27201,5645R26,999,INSPECT,,0.20,0.00,5.10,0.53,0.31,79.50,5.09,5.30,524.70,99,102,23-Sep-24
0022-27201,5645R26,AMAT PKG,ASSY3,,0.10,0.00,2.55,2.10,1.24,53.00,16.80,2.65,368.35,139,102,23-Sep-24
0022-42142,5453R09,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,56,05-Jun-25
0022-42142,5453R09,10,CNCL TAK,NEX-110Y,0.10,0.10,1.40,1.40,1.50,30.00,14.40,1.50,169.50,113,56,05-Jun-25
0022-42142,5453R09,20,CNCL TAK,NEX-110Y,0.10,0.10,1.40,1.40,1.50,30.00,14.40,1.50,169.50,113,56,05-Jun-25
0022-42142,5453R09,800,DEBUR,,0.10,0.00,2.80,2.00,2.14,34.80,16.00,2.90,208.80,72,56,05-Jun-25
0022-42142,5453R09,999,INSPECT,,0.00,0.00,0.93,0.77,0.83,13.95,9.81,0.93,92.07,99,56,05-Jun-25
0022-42142,5453R09,AMAT PKG,ASSY3,,0.10,0.00,0.93,0.82,0.88,20.60,6.56,1.03,143.17,139,56,05-Jun-25
0022-42143,5454R13,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,36,27-Jan-26
0022-42143,5454R13,09,CNCR EXACT,Anderson 3X 16I VMC,0.10,0.50,0.60,0.60,1.00,14.00,8.73,0.70,126.70,181,36,27-Jan-26
0022-42143,5454R13,10,CNCV FAN V,,0.30,1.00,3.66,3.66,6.10,79.20,40.31,3.96,487.08,123,36,27-Jan-26
0022-42143,5454R13,810,DEBUR,,0.10,0.00,1.80,1.48,2.47,22.80,0.00,1.90,136.80,72,36,27-Jan-26
0022-42143,5454R13,20,CNCV FAN M,FANUC Robodrill,0.10,0.50,3.42,3.42,5.70,70.40,47.04,3.52,432.96,123,36,27-Jan-26
0022-42143,5454R13,820,DEBUR,,0.10,0.00,0.60,1.15,1.92,8.40,0.00,0.70,50.40,72,36,27-Jan-26
0022-42143,5454R13,997,INSPECTLAB,,0.10,0.00,1.20,1.08,1.80,19.50,9.72,1.30,128.70,99,36,27-Jan-26
0022-42143,5454R13,AMAT PKG,PKG CLN10K,,0.10,0.00,0.60,2.37,3.95,14.00,0.00,0.70,97.30,139,36,27-Jan-26
