part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
0021-55284,10,CNCL TAK,OD turn + bore + parting,cnc_lathe,1,6.00,6.00,,, 3,Hard jaws; cut len 31mm; stopper+OD 80+OD 35+parting; estimates matched actuals
0021-55284,20,CNCL TAK,OD finish backside,cnc_lathe,2,5.00,5.00,,, 2,Soft jaws flip; cut len 10mm; OD rough+finish back; estimates matched actuals
0021-55284,40,CNCV FAN M,Arc profile pattering,cnc_milling,3,5.00,5.00,3.95,1.27, 1,G54+G55 2-PC fixture; NC raw=7.9 min/1pc → /2=3.95; actual=5.00; k=1.27; setup 5× overrun
0021-55284,50,CNCV FAN M,C'bores + holes,cnc_milling,4,3.50,3.50,3.30,1.06, 4,Ø4.6 drill + cbore Ø0.312 both ends; NC=3.3 min actual=3.5 k=1.06
0022-26284,10,CNCV FAN V,Full profile + face + slot (10pc transform),cnc_milling,1,12.00,12.00,6.97,1.72, 6,10-PC vacuum transform; NC=69.7 min/10=6.97 per pc; actual=12.0; k=1.72; includes flip-face
0022-27201,10,CNCL TAK,OD turn + flange + bore + part-off,cnc_lathe,1,8.00,8.00,,, 3,Ø10 rod; hard jaws; setup massively over-ran 0.5→3.75 hr
0022-27201,20,CNCV MAK,Rough+finish surface + profile relief,cnc_milling,2,1.53,1.00,0.38,2.63, 2,16pc/lot J579 fixture; NC/lot=6.1 min /16=0.38 pc; actual ~1.0 min/pc using QtyRun=156; k≈2.6
0022-27201,30,CNCV MAK,4x slitting saw slots pass 1,cnc_milling,3,1.53,1.00,0.52,1.92, 1,45mm slitting saw 0.9mm wide F=50 mm/min; 4 slots per part
0022-27201,40,CNCV MAK,4x slitting saw slots pass 2 (higher feed),cnc_milling,4,1.53,1.00,0.36,2.78, 1,Same saw at F=75 mm/min; finish pass of slots
0022-42142,10,CNCL TAK NEX-110Y,OD rough+finish + parting (front),cnc_lathe,1,1.50,1.50,,, 3,Hard jaws; stopper+OD 80+OD35+parting; cut len 31mm; setup sheet cycle 4 min (overstated)
0022-42142,20,CNCL TAK NEX-110Y,OD rough+finish backside,cnc_lathe,2,1.50,1.50,,, 2,Soft jaws flip; cut len 10mm; estimate=actual; fast repeat job
0022-42143,09,CNCR EXACT Anderson 3X,Cut blank to size (6pc per run),cnc_milling,1,1.00,1.00,0.55,1.82, 2,6pc per cut-to-size; NC=3.3 min/6pc=0.55; actual=1.0 min/pc; k=1.82 Anderson VMC
0022-42143,10,CNCV FAN V,Full profile + bores + cbores + corners (6pc transform),cnc_milling,2,6.10,6.10,2.97,2.06, 11,6-PC transform; NC=17.8 min/6=2.97; actual=6.10; k=2.06; 61 ops in NC
0022-42143,20,CNCV FAN M,Back face + center cbore + chamfers,cnc_milling,3,5.70,5.70,2.50,2.28, 5,FANUC Robodrill single-piece; NC=2.5 min; actual=5.70; k=2.28; pkgclean hugely over-ran
