part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
0021-55284,10,N1,STOPPER,Stopper,stopper,,,,,,,,,,,,CNCL TAK,xls op10.xlsx
0021-55284,10,N2,OD rough,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10),turning insert,,,31,,,, 0.10,1000,,,PEEK 450GL30,CNCL TAK,xls op10.xlsx
0021-55284,10,N4,OD finish,OD TURN 35° SIZE 16 (ZCCT VCGX110302-LC),turning insert,,,31,,,, 0.07,1500,,,PEEK 450GL30,CNCL TAK,xls op10.xlsx
0021-55284,10,N6,Parting,PARTING (Tungaloy DGM 3-020-15R AH725),parting,3,,32,,,, 0.15,800,,,PEEK 450GL30,CNCL TAK,xls op10.xlsx
0021-55284,20,N1,OD rough back,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10),turning insert,,,10,,,, 0.10,1000,,,PEEK 450GL30,CNCL TAK,xls op20.xlsx
0021-55284,20,N2,OD finish back,OD TURN 35° (ZCCT VCGX110302-LC),turning insert,,,10,,,, 0.07,1500,,,PEEK 450GL30,CNCL TAK,xls op20.xlsx
0021-55284,40,T2,PATTING PART arc profile,C-RF-16 MM X 35-2FL-UNC-EM,end mill,16,2,35,65,-32.26,500,,8000,,,PEEK 450GL30,CNCV FAN M,setup sheet 3175 SETUP
0021-55284,50,T5,ROUGH C'BORE,C-RF-6 MM X 25-2FL-UNC-EM,end mill,6,2,25,35,-22.66,150,,1500,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0021-55284,50,T13,D13 FINISH C'BORE,C-F-6 MM X 25-2FL-UNC-EM,end mill,6,2,25,35,-22.86,100,,4000,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0021-55284,50,T16,SPOTDRILL,6MM SPOTDRILL 90 DEG DURA,spot drill,6,2,3,35,-25.26,400,,4000,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0021-55284,50,T17,DRILL 4.6,4.6MM DRILL,drill,4.6,2,40,45,-33.0,150,,1500,,,PEEK 450GL30,CNCV FAN M,setup sheet 3176 SETUP
0022-26284,10,T1,FLY TO 12MM,50MM FACEMILL 4F,face mill,50,4,4,40,0.0,800,,4000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T5,ROUGH OUTLINE,6MM ENDMILL 2F,end mill,6,2,25,35,-12.0,1000,,8000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T13,D13 FINISHING OUTLINE,6MM ENDMILL 2F FINISHING,end mill,6,2,25,35,-12.0,600,,5000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T6,SEMIFINISHING OUTLINE,3MM ENDMILL 2F,end mill,3,2,8,20,-12.0,500,,3000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T14,D14 FINISHING INSIDE RADIUS,3MM ENDMILL 2F FINISHING,end mill,3,2,8,20,-12.0,300,,3000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-26284,10,T16,D16 SMALL SLOT THRU,1.5MM LONG NECK EM CL3 SHK4 [GET TOOL],long neck end mill,1.5,4,3,22,-12.0,200,,10000,,,PEEK unfilled,CNCV FAN V,setup sheet 3776
0022-27201,20,T5,ROUGH/FINISH SURFACE,6MM ENDMILL 2F,end mill,6,2,25,35,0.0,1000,,5000,,,PEEK 450G,CNCV MAK,setup sheet 2895
0022-27201,20,T16,D16 OUTING 7-0.1,10MM-5 RELIEF DIA 8 (T-slot cutter style),special,10,4,26.67,60,-13.0,250,,4000,,,PEEK 450G,CNCV MAK,setup sheet 2895
0022-27201,30,T17,SLOT x4 pass1,45MM SLITTING SAW SHK DIA 22 (0.9mm wide),slitting saw,45,4,0.9,95,-60.45,50,,1500,,,PEEK 450G,CNCV MAK,setup sheet 2896
0022-27201,40,T17,SLOT x4 pass2 (higher feed),45MM SLITTING SAW SHK DIA 22 (0.9mm wide),slitting saw,45,4,0.9,95,-60.45,75,,1500,,,PEEK 450G,CNCV MAK,setup sheet 3519
0022-42142,10,N1,STOPPER,Stopper,stopper,,,,,,,,,,,,CNCL TAK,xls op10.xlsx
0022-42142,10,N2,OD rough,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10 / WALTER DCLNR2525M12),turning insert,,,31,,,, 0.10,1000,,,PEEK 450G,CNCL TAK NEX-110Y,xls op10.xlsx
0022-42142,10,N4,OD finish,OD TURN 35° SIZE 16 (ZCCT VCGX110302-LC / SVJCR-2525M-11),turning insert,,,31,,,, 0.07,1500,,,PEEK 450G,CNCL TAK NEX-110Y,xls op10.xlsx
0022-42142,10,N6,Parting,PARTING (Tungaloy DGM 3-020-15R AH725 / CTER2525-3T25),parting,3,,32,,,, 0.15,800,,,PEEK 450G,CNCL TAK NEX-110Y,xls op10.xlsx
0022-42142,20,N1,OD rough flip,OD Turn 80° (Mitsubishi CNGG120404-MJ HTi10),turning insert,,,10,,,, 0.10,1000,,,PEEK 450G,CNCL TAK NEX-110Y,xls op20.xlsx
0022-42142,20,N2,OD finish flip,OD TURN 35° (ZCCT VCGX110302-LC),turning insert,,,10,,,, 0.07,1500,,,PEEK 450G,CNCL TAK NEX-110Y,xls op20.xlsx
0022-42143,09,T1,CUT TO SIZE,10MM ROUGHING ENDMILL PCL590167 [FAP11335],end mill,10,2,35,40,-12.2,3500,,13500,,,PEEK 450G,CNCR EXACT (Anderson 3X 16I),setup sheet 4778
0022-42143,09,T4,CUT MATERIAL,3MM NC SPOT 90 DEG [S2DSO-090-030U],spot drill,3,2,5,30,-12.7,1500,,8000,,,PEEK 450G,CNCR EXACT (Anderson 3X 16I),setup sheet 4778
0022-42143,10,T1,FLY SURFACE,50MM FACEMILL MITSUBISHI 4F,face mill,50,4,17,50,0.0,800,,5000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T7,SPOTDRILL,12MM SPOTDRILL 90 DEG DURA,spot drill,12,2,6,50.8,-2.6,400,,4000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T15,DRILL 5,5MM DRILL,drill,5,2,25,40,-11.2,120,,1200,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T5,RELEASE HOLE; D5 HOLE 9.2; D5 C'BORE 13.2,6MM FLAT ENDMILL DURA 2F (circle mill),end mill,6,2,20,30,-11.2,100-500,,1000-3000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T4,D4 OUTING,10MM FLAT ENDMILL DURA 2F,end mill,10,2,20,40,-11.2,800,,6000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T16,RADIUS R3,R3 CORNER RADIUS SHK DIA 12 TIP 6MM,ball/corner,6,4,3,40,-3.0,200,,4000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,10,T9,CHAMFER,3MM CHAMFERMILL 90 DEG DURA,chamfer mill,3,2,1.5,30.5,,500,,8000,,,PEEK 450G,CNCV FAN V,setup sheet 4779
0022-42143,20,T1,FLY SURFACE back,50MM FACEMILL MITSUBISHI 4F,face mill,50,4,17,50,0.0,800,,5000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-42143,20,T6,D6 C'BORE DIA 8,3MM FLAT ENDMILL DURA 2F (circle mill),end mill,3,2,8,25.4,-7.0,100,,3000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-42143,20,T7,CHAMFER 1MM,12MM SPOTDRILL 90 DEG DURA,spot drill,12,2,6,50.8,0.0,400,,4000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
0022-42143,20,T9,CHAMFER,3MM CHAMFERMILL 90 DEG DURA,chamfer mill,3,2,1.5,30.5,-7.0,500,,8000,,,PEEK 450G,CNCV FAN M Robodrill,setup sheet 4780
