part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
0022-49255,8441R06,09,CNCR STRAT,,0.10,0.30,0.24,0.24,0.20,6.80,4.32,0.54,97.74,181,72,29-Nov-24
0022-49255,8441R06,10,CNCV FAN V,,0.50,1.50,4.20,4.56,3.80,94.00,72.72,6.06,745.38,123,72,29-Nov-24
0022-49255,8441R06,810,DEBUR,,0.10,0.00,2.40,2.40,2.00,30.00,19.20,2.40,172.80,72,72,29-Nov-24
0022-49255,8441R06,20,CNCV FAN M,,0.50,0.50,6.00,6.00,5.00,130.00,58.18,6.50,799.50,123,72,29-Nov-24
0022-49255,8441R06,30,CNCV FAN M,,0.30,0.50,3.60,3.60,3.00,78.00,36.69,4.10,504.30,123,72,29-Nov-24
0022-49255,8441R06,999,INSPECT,,0.20,0.00,2.40,0.80,0.67,39.00,8.46,0.80,79.20,99,72,29-Nov-24
0022-49255,8441R06,PKG,ASSY3,,0.10,0.00,2.40,0.90,0.75,50.00,7.49,0.90,125.10,139,72,29-Nov-24
0022-63955,8803R10,10,LYNX21LYSB,Doosan Lynx 21 LYSB,3.00,3.50,11.00,11.00,22.00,280.00,144.42,14.50,2175.00,150,30,08-Feb-26
0022-63955,8803R10,800,DEBUR,,0.10,0.00,2.50,2.37,4.74,31.20,18.96,2.37,170.64,72,30,08-Feb-26
0022-63955,8803R10,997,INSPECTLAB,,0.20,0.00,2.00,0.80,1.60,33.00,0.00,0.80,79.20,99,30,08-Feb-26
0022-63955,8803R10,PKG,PKG CLN10K,,0.10,0.00,1.00,2.52,5.04,22.00,0.00,2.52,350.28,139,30,08-Feb-26
0022-75931,7675R09,10,CNCL TAK,,1.00,1.00,15.58,15.58,3.50,331.60,101.59,16.58,1873.54,113,267,25-Jun-25
0022-75931,7675R09,800,DEBUR,,0.10,0.00,8.90,2.72,0.61,108.00,21.76,2.72,195.84,72,267,25-Jun-25
0022-75931,7675R09,999,INSPECT,,0.10,0.00,8.90,0.17,0.04,135.00,1.63,0.17,16.83,99,267,25-Jun-25
0022-75931,7675R09,PKG,ASSY3,,0.10,0.00,8.90,6.70,1.51,180.00,53.60,6.70,931.30,139,267,25-Jun-25
1157-776-01,3263R16,800,SAW,,0.10,0.00,3.33,3.33,8.00,41.16,33.27,3.33,239.76,72,25,30-Jun-25
1157-776-01,3263R16,10,CNCL NAK,,1.00,1.00,2.50,2.50,6.00,70.00,34.38,3.50,395.50,113,25,30-Jun-25
1157-776-01,3263R16,20,CNCL NAK,,0.50,1.00,6.25,6.25,15.00,135.00,54.00,7.25,819.25,113,25,30-Jun-25
1157-776-01,3263R16,30,CNCL NAK,,1.00,1.00,4.58,4.60,11.00,111.60,0.00,5.60,632.80,113,25,30-Jun-25
1157-776-01,3263R16,40,CNCV MAK,,0.50,0.50,12.50,12.50,30.00,260.00,157.27,13.00,1599.00,123,25,30-Jun-25
1157-776-01,3263R16,810,DEBUR,,0.10,0.00,4.58,2.97,7.10,56.16,23.76,2.97,213.84,72,25,30-Jun-25
1157-776-01,3263R16,50,CNCV MAK,,0.30,3.30,0.83,0.83,2.00,22.60,44.00,4.13,507.99,123,25,30-Jun-25
1157-776-01,3263R16,60,CNCV MAK,,0.50,0.50,1.67,1.67,4.00,43.40,32.55,2.17,266.91,123,25,30-Jun-25
1157-776-01,3263R16,820,DEBUR,,0.00,0.00,2.08,1.90,4.60,24.96,15.20,1.90,136.80,72,25,30-Jun-25
1157-776-01,3263R16,997,INSPECT,,0.10,0.00,0.00,1.32,3.20,1.50,14.52,1.32,130.68,99,25,30-Jun-25
1157-776-01,3263R16,830,ASSY2,,0.10,0.00,0.83,2.00,4.80,13.95,14.60,2.00,234.00,117,25,30-Jun-25
1157-776-01,3263R16,999,INSPECT,,0.30,0.00,0.42,0.80,1.90,10.80,6.92,0.80,79.20,99,25,30-Jun-25
1157-776-01,3263R16,PKG,ASSY3,,0.10,0.00,0.42,2.39,5.70,10.40,21.82,2.39,332.21,139,34,30-Jun-25
