part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
713-142958-001,2270R71,10,CNCL NAK,,1.00,1.60,8.40,8.40,3.00,188.00,90.00,10.00,1130.00,113,168,16-Feb-26
713-142958-001,2270R71,800,DEBUR,,0.10,0.00,5.60,3.00,1.07,68.40,24.00,3.00,216.00,72,168,16-Feb-26
713-142958-001,2270R71,997,INSPECTLAB,,0.10,0.00,2.80,0.20,0.07,43.50,2.30,0.20,19.80,99,168,16-Feb-26
713-142958-001,2270R71,LAM-PACK,PKG CLN10K,,0.10,0.00,8.40,5.15,1.83,170.00,44.55,5.15,715.85,139,168,16-Feb-26
713-142960-001,2271R68,10,CNCL NAK,,1.00,1.20,8.59,8.51,2.28,191.80,27.99,9.71,1097.23,113,224,16-Feb-26
713-142960-001,2271R68,800,DEBUR,,0.10,0.00,22.40,3.00,0.80,270.00,24.00,3.00,216.00,72,224,16-Feb-26
713-142960-001,2271R68,997,INSPECTLAB,,0.10,0.00,0.30,0.48,0.13,6.00,4.62,0.48,47.52,99,224,16-Feb-26
713-142960-001,2271R68,1000,PKG CLN10K,,0.10,0.00,3.73,1.35,0.36,76.60,1.04,1.35,187.65,139,224,16-Feb-26
713-201706-001,2277R81,10,CNCTM TAK,,1.00,1.50,13.75,13.83,5.53,295.00,241.44,15.33,2299.50,150,150,09-Mar-26
713-201706-001,2277R81,20,CNCTM TAK,,1.00,3.00,7.50,7.50,3.00,170.00,192.84,10.50,1575.00,150,150,09-Mar-26
713-201706-001,2277R81,800,DEBUR,,0.10,0.00,12.50,5.00,2.00,151.20,50.00,5.00,360.00,72,150,09-Mar-26
713-201706-001,2277R81,997,INSPECTLAB,,0.10,0.00,0.30,0.98,0.40,6.00,0.00,0.98,97.02,99,148,09-Mar-26
713-201706-001,2277R81,1000,PKG CLN10K,,0.10,0.00,2.50,5.47,2.22,52.00,0.00,5.47,760.33,139,148,09-Mar-26
713-344410-010,8049R12,10,LYNX21LYSB,,1.50,2.00,26.00,26.00,10.00,550.00,340.56,28.00,5040.00,180,156,05-Aug-25
713-344410-010,8049R12,800,DEBUR,,0.10,0.00,5.20,3.87,1.49,63.60,31.62,3.87,278.64,72,156,05-Aug-25
713-344410-010,8049R12,999,INSPECTASY,,0.20,0.00,0.50,1.92,0.74,10.50,10.14,1.92,190.08,99,156,05-Aug-25
713-344410-010,8049R12,LAM-PACK,PKG CLN10K,,0.10,0.00,3.90,1.37,0.53,80.00,14.49,1.37,190.43,139,156,05-Aug-25
713-A05592-003,6030R19,10,CNCTM TAK,NEX-110Y,0.50,2.50,3.73,3.73,7.99,84.60,67.41,6.23,1121.40,180,28,09-Apr-25
713-A05592-003,6030R19,20,CNCTM TAK,NEX-110Y,0.50,2.00,4.67,4.67,10.00,103.40,63.67,6.67,1200.60,180,28,09-Apr-25
713-A05592-003,6030R19,800,DEBUR,,0.10,0.00,1.87,1.58,3.39,23.64,12.64,1.58,113.76,72,28,09-Apr-25
713-A05592-003,6030R19,999,INSPECT,,0.20,0.00,1.40,0.92,1.97,24.00,8.84,0.92,91.08,99,28,09-Apr-25
713-A05592-003,6030R19,LAM-PACK,ASSY3,,0.10,0.00,2.33,1.60,3.43,48.60,14.61,1.60,222.40,139,28,09-Apr-25
