part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
713-142958-001,10,N2,OD rough,OD Turn 80deg Mitsubishi CNGG120404-MJ HTi10,OD turning insert,,,,,,,0.1,1000,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142958-001,10,N3,Lathe cannell rough,OD Rough Left Mitsubishi insert,OD turning insert,,,,,,,0.1,1000,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142958-001,10,N4,ID drill,12mm Spot Drill 90deg,spot drill,12,,3,,,150,,1000,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142958-001,10,N5,ID bore rough+finish,ID Finish SIMTEK A04.0016 YR GT45,boring bar,,,,,,,0.07,1000,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142958-001,10,N6,OD finish,OD Finish Left ZCCT VCGX110302-LH SVJCR-2525M-11,OD turning insert,,,,,,,0.07,1500,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142958-001,10,N7,Turn back-chamfer,Turn back-chamfer insert,OD turning insert,,,,,,,0.07,1000,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142958-001,10,N9,Part-off,Parting TAEGUTEC TDJ3TT9030 CHAIN EZHR-25M-3D-25,parting blade,,,,,,,0.15,1000,,,PEEK NAT,NAKAMURA,Taki setup sheet OP10 O1816
713-142960-001,10,N2,OD rough,OD Turn 80deg Mitsubishi CNGG120404-MJ WALTER DCLNR2525M12,OD turning insert,,,,,,,0.1,1000,,,PEEK NAT,CNCL NAK,Taki setup sheet OP10 O1817
713-142960-001,10,N3,OD cannell rough,OD Rough Left Mitsubishi insert,OD turning insert,,,,,,,0.1,1000,,,PEEK NAT,CNCL NAK,Taki setup sheet OP10 O1817
713-142960-001,10,N3b,Spot + drill,12mm Spot Drill 90deg,spot drill,12,,3,,,150,,800,,,PEEK NAT,CNCL NAK,Taki setup sheet OP10 O1817
713-142960-001,10,N4,ID bore rough+finish,ID Finish SIMTEK A04.0016 SIMTEK YR GT45 boring bar,boring bar,,,,,,,0.15,1000,,,PEEK NAT,CNCL NAK,Taki setup sheet OP10 O1817
713-142960-001,10,N9,OD finish,OD Finish Left CHAIN SVJCR-2525M-11 ZCC-CT VCGX110302-LH,OD turning insert,,,,,,,0.07,1000,,,PEEK NAT,CNCL NAK,Taki setup sheet OP10 O1817
713-142960-001,10,N6,Part-off,Parting CHAIN EZHR-25M-3D-25 Taegutec TDJ3TT9030,parting blade,,,,,,,0.08,1000,,,PEEK NAT,CNCL NAK,Taki setup sheet OP10 O1817
713-201706-001,10,N2,OD rough,OD Rough Left Mitsubishi CNGG120404-MJ WALTER DCLNR2525M12,OD turning insert,,,,,,,0.1,1000,,,PEEK NAT,CNCTM TAK,Setup sheet OP10 O1820
713-201706-001,10,N3,OD cannell rough,OD Rough Left 2nd pass,OD turning insert,,,,,,,0.1,1000,,,PEEK NAT,CNCTM TAK,Setup sheet OP10 O1820
713-201706-001,10,N3b,Spot drill,12mm Spot Drill,spot drill,12,,40,,,-,,1000,,,PEEK NAT,CNCTM TAK,Setup sheet OP10 O1820
713-201706-001,10,N4,Drill Ø5.0,Drill 5.0mm x CL40 MERTEX ER16,drill,5,,40,,,200,,1000,,,PEEK NAT,CNCTM TAK,Setup sheet OP10 O1820
713-201706-001,10,N7/N8,Tap M6x1.0,Tap M6x1.0 Spiral STK MERTEX ER16,tap,6,,40,,,,,350,,,PEEK NAT,CNCTM TAK,Setup sheet OP10 O1820
713-201706-001,10,N9,OD finish,OD Finish Left CHAIN SVJCR-2525M-11 ZCC-CT VCGX110302-LH,OD turning insert,,,,,,,0.07,1500,,,PEEK NAT,CNCTM TAK,Setup sheet OP10 O1820
