part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
0020-46358,3466R40,10,CNCR EXACT,CNCR EXACT 1616,0.30,0.30,3.27,3.27,4.00,71.40,32.13,3.57,646.17,181,49,03-Jul-25
0020-46358,3466R40,20,CNCR EXACT,CNCR EXACT 1616,0.30,1.00,8.98,9.41,11.52,185.60,88.89,10.41,1884.21,181,49,03-Jul-25
0020-46358,3466R40,25,CNCV FAN M,CNCV FAN M,0.30,1.31,1.63,1.60,1.96,38.60,26.57,2.91,357.93,123,49,03-Jul-25
0020-46358,3466R40,30,CNCV FAN M,CNCV FAN M,0.50,5.00,8.17,10.50,12.86,173.40,149.68,15.50,1906.50,123,49,03-Jul-25
0020-46358,3466R40,40,CNCV FAN M,CNCV FAN M,0.50,1.50,28.58,28.57,35.02,581.60,299.26,30.07,3698.61,123,49,03-Jul-25
0020-46358,3466R40,800,DEBUR,DEBUR,0.10,0.00,4.08,1.77,2.17,50.16,14.04,1.77,127.44,72,49,03-Jul-25
0020-46358,3466R40,810,DEBUR,DEBUR,0.10,0.00,4.08,4.40,5.39,50.16,34.89,4.40,316.80,72,49,03-Jul-25
0020-46358,3466R40,820,PART MARK,PART MARK,0.10,0.00,1.63,1.68,2.06,20.76,16.14,1.68,120.96,72,49,03-Jul-25
0023-12637,14530R10,10,CNCL NAK,NAKAMURA-TOME SC-300,1.00,1.50,3.73,3.73,13.99,94.60,62.76,5.23,590.99,113,16,27-Jan-26
0023-12637,14530R10,20,CNCTM TAK,TAKISAWA NEX-108Y,1.00,1.00,1.60,1.60,6.00,52.00,30.07,2.60,390.00,150,16,27-Jan-26
0023-12637,14530R10,800,DEBUR,DEBUR,0.10,0.00,0.53,0.53,1.99,7.56,4.24,0.53,38.16,72,16,27-Jan-26
0023-12637,14530R10,999,INSPECTASY,INSPECTASY,0.10,0.00,0.25,1.42,5.33,5.25,0.00,1.42,140.58,99,16,27-Jan-26
0041-14421,3500R31,10,CNCR EXACT,CNCR EXACT (Router),0.30,0.30,1.50,1.50,5.00,36.00,25.20,1.80,325.80,181,18,03-Jul-25
0041-14421,3500R31,20,CNCR EXACT,CNCR EXACT (Router),0.30,0.30,1.50,1.50,5.00,36.00,25.20,1.80,325.80,181,18,03-Jul-25
0041-14421,3500R31,800,DEBUR,DEBUR,0.10,0.00,3.00,2.48,8.27,37.20,19.84,2.48,178.56,72,18,03-Jul-25
0041-14421,3500R31,810,WELD,WELD,0.30,0.00,6.00,6.53,21.77,189.00,67.24,6.53,927.26,142,18,03-Jul-25
0041-14421,3500R31,999,INSPECT,INSPECT,0.00,0.00,0.60,0.60,2.00,9.00,7.20,0.60,59.40,99,18,03-Jul-25
0041-14421,3500R31,AMAT PKG,ASSY3,ASSY3,0.10,0.00,0.90,3.37,11.23,20.00,29.15,3.37,468.43,139,18,03-Jul-25
1241-714-01,9570R05,010,LYNX 26Y,DOOSAN LYNX 26Y,1.50,2.80,6.00,6.00,18.00,150.00,96.48,8.80,1584.00,180,20,13-Oct-25
1241-714-01,9570R05,020,CNCV MAK,CNCV MAK PS95,0.20,0.86,2.67,2.67,8.01,57.40,32.23,3.53,434.19,123,20,13-Oct-25
1241-714-01,9570R05,800,DEBUR,DEBUR,0.10,0.00,1.00,5.80,17.40,13.20,46.40,5.80,417.60,72,20,13-Oct-25
1241-714-01,9570R05,810,DEBUR,DEBUR,0.10,0.00,0.67,1.30,3.90,9.24,10.31,1.30,93.60,72,20,13-Oct-25
1241-714-01,9570R05,999,INSPECTASY,INSPECTASY,0.10,0.00,1.00,0.12,0.36,16.50,1.32,0.87,86.13,99,20,13-Oct-25
1241-714-01,9570R05,ASM PKG,PKG CLN10K,PKG CLN10K,0.10,0.00,0.67,0.85,2.55,15.40,7.35,0.85,118.15,139,20,13-Oct-25
15-137820-00,11090R13,10,CNCR EXACT,EXXACT PLUS,0.33,0.33,17.73,17.73,13.30,361.20,137.50,18.06,3268.86,181,80,24-Dec-25
15-137820-00,11090R13,20,CNCR EXACT,EXXACT 1616,0.33,0.50,13.33,13.33,10.00,273.20,158.79,13.83,2503.23,181,80,24-Dec-25
15-137820-00,11090R13,800,DEBUR,DEBUR,0.10,0.00,4.00,4.19,3.14,49.20,34.23,4.19,301.68,72,80,24-Dec-25
15-137820-00,11090R13,991,INSPECTIQC,INSPECTIQC,0.10,0.00,0.30,1.47,1.10,6.00,14.14,1.47,145.53,99,80,24-Dec-25
15-137820-00,11090R13,995,INSPECTIPQ,INSPECTIPQ,0.10,0.00,0.25,0.27,0.20,5.25,3.44,0.27,26.73,99,80,24-Dec-25
15-137820-00,11090R13,LAM PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,4.00,9.99,7.49,82.00,31.14,9.99,1388.61,139,80,24-Dec-25
15-395585-00,11111R09,10,CNCL TAK,TAKISAWA 108,1.00,1.50,2.65,2.65,3.00,73.00,48.90,4.15,468.95,113,53,08-Feb-26
15-395585-00,11111R09,800,DEBUR,DEBUR,0.10,0.00,0.44,2.02,2.28,6.48,16.16,2.02,145.44,72,53,08-Feb-26
15-395585-00,11111R09,997,INSPECTLAB,INSPECTLAB,0.20,0.00,0.20,1.33,1.51,6.00,9.59,1.33,131.67,99,53,08-Feb-26
15-395585-00,11111R09,LAM PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,0.88,0.87,0.98,19.60,8.37,0.87,120.93,139,53,08-Feb-26
