part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
0020-46358,10,1,fly surface / dovetail step,C-RF-19.05MM X 64-2FL-UNC-END MILL ONSRUD-52-724,end_mill,19.05,2,50.8,70.0,-5.0,2500,,6500,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,10,4,slot,C-RF-6MM X 25-2FL-UNC-END MILL ONSRUD-PCL590166,end_mill,6,2,25.0,35.0,-3.175,750,,6000,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,10,5,dovetail,FAP-11481 12MM X60DEG DOVETAIL,dovetail_mill,12,4,6.0,25.0,-3.175,600,,5000,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,10,6,outline rough,12MM ENDMILL CL55 ONSRUD-52-746,end_mill,12,2,55.0,65.0,-60.0,1800,,6500,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,20,1,datum check profile,C-RF-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-1.0,1500,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,2,fly surface Z0,C-RF-80MM 45DEG FACEMILL AFE45-4080R4,face_mill,80,4,10.0,50.0,0.0,800,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,3,rough pocket step,C-RF-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-20.705,2500,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,4,semifinish wall,C-F-6MM X 25-2FL-UNC-END MILL ONSRUD-PCL590166,end_mill,6,2,25.0,35.0,-20.705,800,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,5,finish floor pocket,C-F-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-20.955,750,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,7,rough profile,C-RF-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-51.0,2500,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,8,finish profile,C-F-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-51.0,800,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,9,chamfer Z0,C-F-3MM X 90DEG-2FL-UNC-CHAMFER MILL GET-S2DSO-090-03U,chamfer_mill,3,2,5.0,25.0,-0.58,1000,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,1,pre-bore Ø15 thru,C-RF-10MM X 35-2FL-UNC-END MILL ONSRUD-PCL590167,end_mill,10,2,35.0,40.0,-36.005,1500,,4500,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,2,helix bore Ø23.4 NPT,C-RF-10MM X 35-2FL-UNC-END MILL ONSRUD-PCL590167,end_mill,10,2,35.0,40.0,-40.355,1200,,4500,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,3,3/4-14 NPT thread mill pass1,TM-490-20 (12.7MM NPT thread mill),thread_mill,12.7,4,2.0,38.0,-40.604,400,,4500,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,4,3/4-14 NPT thread mill pass2,TM-490-20 (12.7MM NPT thread mill),thread_mill,12.7,4,2.0,38.0,-40.604,400,,4000,,,PP NPP,CNCV FAN M,setup_sheet
0023-12637,10,1,OD rough,MITSUBISHI CNGG120404-MJ HTi10 / WALTER DCLNR2525M12,lathe_OD_rough,,,,,-0.0,,0.15,1200,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,2,T-drill 32mm,SUMITOMO T-DRILL 32MM,lathe_drill,32,,,,-57.0,,0.07,1800,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,3,ID rough,ZCC-CT VCGX110302-LH / GKATE C16R-STUPR11,lathe_ID_rough,,,,,-56.65,,0.25,1800,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,4,OD finish,ZCC-CT VCGX110302-LH / CHAIN SVJCR2525M11,lathe_OD_finish,,,,,-0.0,,0.07,1500,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,5,ID finish,ZCC-CT VCGX110302-LH / GKATE C16R-STUPR11,lathe_ID_finish,,,,,-56.8,,0.07,1600,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,10,6,OD parting (PCD),WARK MGGN300R 15R PCD / MGEHR2020 3T25,lathe_parting,,,,,-56.8,,0.07,1000→2000,,,PP NPP,NAKAMURA-TOME SC-300,setup_sheet
0023-12637,20,1,OD rough (2nd op),MITSUBISHI CNGG120404-MJ HTi10 / WALTER DCLNR2525M12,lathe_OD_rough,,,,,-55.6,,0.20,1000,,,PP NPP,TAKISAWA NEX-108Y,setup_sheet
0023-12637,20,2,OD finish,ZCC-CT VCGX110302-LH / CHAIN SVJCR2525M11,lathe_OD_finish,,,,,-55.8,,0.07,1500,,,PP NPP,TAKISAWA NEX-108Y,setup_sheet
0023-12637,20,3,radial leaders (7x),E143-0 Ø3.0MM FLAT ENDMILL (horizontal live),end_mill,3,4,50.0,60.0,-4.0,200,,1600,,,PP NPP,TAKISAWA NEX-108Y,setup_sheet
0041-14421,10,1,rough outline 9.525mm,10MM ROUGHING ENDMILL PCL590167 FAP11335,end_mill,10,2,35.0,40.0,-9.525,300,,11000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,10,2,finish outline 9.525mm,10MM FINISHING ENDMILL PCL590167 FAP11335,end_mill,10,2,35.0,40.0,-9.525,500,,12500,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,10,3,chamfer weld edge,3MM NC SPOT 90DEG S2DSO-090-030U,chamfer_mill,3,2,5.0,30.0,0.0,1000,,8000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,10,4,registration mark,3MM NC SPOT 90DEG S2DSO-090-030U,chamfer_mill,3,2,5.0,30.0,-0.2,1000,,8000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,10,5,drill 3.5mm for 8-32UNC,DRILL 3.5MM COBALT,drill,3.5,2,20.0,30.0,-12.0,200,,1500,,,PP White UL94,CNCR EXACT (Router),setup_sheet
0041-14421,10,6,8-32 UNC thread-hob,THREADHOB 8-32 UNC TIP DIA 3.2MM,thread_mill,3.2,4,2.381,30.0,-10.5,300,,3000,,,PP White UL94,CNCR EXACT (Router),setup_sheet
