part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
713-A42978-022,8048R26,10,CNCR EXACT,CNCR EXACT,0.25,0.00,5.40,5.40,9.0,113.00,48.60,5.40,977.40,181,36,08-Dec-25
713-A42978-022,8048R26,800,DEBUR,DEBUR,0.10,0.00,6.00,3.90,6.5,73.20,31.20,3.90,280.80,72,36,08-Dec-25
713-A42978-022,8048R26,20,CNC HAAS L,CNC HAAS L,0.50,0.50,9.60,9.60,16.0,202.00,89.80,10.10,1807.90,179,36,08-Dec-25
713-A42978-022,8048R26,30,CNC HAAS L,CNC HAAS L,0.50,0.50,90.00,90.00,150.0,1810.00,839.00,90.50,16199.50,179,36,08-Dec-25
713-A42978-022,8048R26,810,DEBUR,DEBUR,0.10,0.00,6.00,13.75,22.9,73.20,109.87,13.75,990.00,72,36,08-Dec-25
713-A42978-022,8048R26,995,INSPECTIPQ,INSPECTIPQ,0.10,0.00,0.00,0.32,0.53,1.50,3.39,0.32,31.68,99,36,08-Dec-25
713-A42978-022,8048R26,820,ASSY1,ASSY1,0.10,0.00,1.80,2.23,3.72,22.80,20.36,2.23,160.56,72,36,08-Dec-25
713-A42978-022,8048R26,999,INSPECTASY,INSPECTASY,0.20,0.00,1.80,3.44,5.73,30.00,27.62,3.44,340.56,99,72,08-Dec-25
713-A42978-022,8048R26,991,INSPECTIQC,INSPECTIQC,0.10,0.00,0.30,0.50,0.83,6.00,3.61,0.50,49.50,99,36,08-Dec-25
713-A42978-022,8048R26,LAM-PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,3.00,10.40,17.3,62.00,89.96,10.40,1445.60,139,36,08-Dec-25
713-A51655-001,8931R11,10,CNCR EXACT,CNCR EXACT,0.30,0.48,0.93,0.93,1.40,24.60,11.52,1.41,255.21,181,40,26-Dec-25
713-A51655-001,8931R11,800,DEBUR,DEBUR,0.10,0.00,1.33,2.23,3.35,17.16,16.08,2.23,160.56,72,40,26-Dec-25
713-A51655-001,8931R11,20,CNCV FAN M,CNCV FAN M,0.50,1.00,1.33,1.30,1.95,36.60,0.00,2.30,282.90,123,40,26-Dec-25
713-A51655-001,8931R11,810,DEBUR,DEBUR,0.10,0.00,1.33,0.62,0.93,17.16,6.20,0.62,44.64,72,40,26-Dec-25
713-A51655-001,8931R11,999,INSPECTASY,INSPECTASY,0.10,0.00,1.33,2.81,6.24,21.45,20.26,2.81,278.19,99,27,26-Dec-25
713-A51655-001,8931R11,LAM-PACK,PKG CLN10K,PKG CLN10K,0.10,0.00,0.67,3.30,7.33,15.40,30.13,3.30,458.70,139,27,26-Dec-25
839-219206-002,10775R05,800,SAW,SAW,0.10,0.00,1.87,3.73,4.0,23.64,35.88,3.73,268.56,72,56,16-Jan-25
839-219206-002,10775R05,10,CNCV FAN M,CNCV FAN M,0.30,0.60,8.40,8.40,9.0,174.00,112.80,9.00,1107.00,123,56,16-Jan-25
839-219206-002,10775R05,20,CNC 5-AXIS,CNC 5-AXIS,0.30,1.50,23.33,23.33,25.0,708.90,322.79,24.83,6803.42,274,56,16-Jan-25
839-219206-002,10775R05,30,CNCV FAN M,CNCV FAN M,0.10,1.00,9.33,9.30,9.96,188.60,99.38,10.30,1266.90,123,56,16-Jan-25
839-219206-002,10775R05,810,DEBUR,DEBUR,0.10,0.00,2.80,1.95,2.09,34.80,15.60,1.95,140.40,72,56,16-Jan-25
839-219206-002,10775R05,997,INSPECT,INSPECT,0.10,0.00,2.80,2.02,2.16,43.50,21.37,2.02,199.98,99,56,16-Jan-25
839-219206-002,10775R05,820,SOCKET FUS,SOCKET FUS,0.50,0.00,4.67,3.24,3.47,267.08,31.17,3.24,523.39,162,56,16-Jan-25
839-219206-002,10775R05,910,LEAK TEST,LEAK TEST,0.10,0.00,9.33,6.77,7.25,141.45,81.24,6.77,670.23,99,56,16-Jan-25
839-219206-002,10775R05,999,INSPECT,INSPECT,0.20,0.00,2.80,0.73,0.78,45.00,8.03,0.73,72.27,99,56,16-Jan-25
839-219206-002,10775R05,LAM-PACK,ASSY3,ASSY3,0.10,0.00,1.87,1.95,2.09,39.40,15.00,1.95,271.05,139,56,16-Jan-25
839-232763-002,14185R01,800,SOCKET FUS,SOCKET FUS,0.30,0.00,1.33,1.57,9.4,84.21,15.10,1.57,253.62,162,10,22-Jan-25
839-232763-002,14185R01,810,ASSY1,ASSY1,0.10,0.00,1.00,0.80,4.8,13.20,7.70,0.80,57.60,72,10,22-Jan-25
839-232763-002,14185R01,820,WELD,WELD,0.20,0.00,2.50,2.65,15.9,81.00,26.50,2.65,376.30,142,10,22-Jan-25
839-232763-002,14185R01,910,LEAK TEST,LEAK TEST,0.20,0.00,0.83,2.49,14.9,15.45,25.15,2.49,246.51,99,10,22-Jan-25
839-232763-002,14185R01,999,INSPECT,INSPECT,0.10,0.00,0.20,1.55,9.3,4.50,17.05,1.55,153.45,99,10,22-Jan-25
839-232763-002,14185R01-1,09,CNCV MAK,CNCV MAK,0.20,0.50,0.33,0.50,3.0,10.60,13.00,1.00,123.00,123,10,03-Feb-25
839-232763-002,14185R01-1,10,DVF 5000,DVF 5000,0.33,1.50,6.33,6.33,38.0,199.80,101.79,7.83,2145.42,274,10,03-Feb-25
839-232763-002,14185R01-1,20,CNCV MAK,CNCV MAK,0.20,1.00,0.67,0.67,4.0,17.40,16.70,1.67,205.41,123,10,03-Feb-25
839-232763-002,14185R01-2,10,CNCL TAK,CNCL TAK,1.00,4.00,3.33,3.34,10.0,86.60,64.70,7.34,829.42,113,20,03-Feb-25
839-232763-002,14185R01-2,20,CNCL TAK,CNCL TAK,0.50,1.00,0.67,0.66,2.0,23.40,14.95,1.66,187.58,113,20,03-Feb-25
839-232763-002,14185R01-3,09,CNCR EXACT,CNCR EXACT,0.20,1.00,0.70,0.90,5.4,18.00,24.70,1.90,343.90,181,10,03-Feb-25
839-A29596-001,12972R08,10,CNCV FAN M,CNCV FAN M,0.50,1.50,0.67,0.67,2.0,23.40,19.82,2.17,266.91,123,20,19-Jan-26
839-A29596-001,12972R08,20,CNC 5-AXIS,CNC 5-AXIS,1.00,1.00,10.67,10.67,32.0,350.10,151.71,11.67,3197.58,274,20,19-Jan-26
839-A29596-001,12972R08,30,CNCV FAN M,CNCV FAN M,0.50,0.50,1.33,1.33,4.0,36.60,13.36,1.83,225.09,123,20,19-Jan-26
839-A29596-001,12972R08,800,DEBUR,DEBUR,0.10,0.00,1.67,1.27,3.8,21.24,12.70,1.27,91.44,72,20,19-Jan-26
839-A29596-001,12972R08,995,INSPECTIPQ,INSPECTIPQ,0.10,0.00,0.00,1.12,3.36,1.50,8.08,1.12,110.88,99,20,19-Jan-26
839-A29596-001,12972R08,810,SOCKET FUS,SOCKET FUS,0.50,0.00,3.33,4.20,12.6,197.86,40.36,4.20,678.47,162,20,19-Jan-26
839-A29596-001,12972R08,910,LEAK TEST,LEAK TEST,0.20,0.00,1.67,2.47,7.4,28.05,22.23,2.47,244.53,99,20,19-Jan-26
