part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
713-A42978-022,10,N1,Rough OD cut to size,10MM ROUGHING ENDMILL PCL590167,end_mill,10,2,35,40,,1700,,13500,,,PP,CNCR EXACT,setup_pdf_op10
713-A42978-022,10,N2,D20 Finish contour 820x704,20MM CHIP BREAKER END MILL AUS-A2003100,end_mill,20,2,35,40,,3500,,12500,,,PP,CNCR EXACT,setup_pdf_op10
713-A42978-022,10,N4,Cut material,3MM NC SPOT 90 DEG,spot_drill,3,2,30,40,,3500,,12000,,,PP,CNCR EXACT,setup_pdf_op10
713-A42978-022,20,T6,Rough profile (chip-breaker),3MM FLAT END MILL CL10 ONSPUD-2F,end_mill,3,2,10,25,,-10.0,,,,PP,CNC HAAS L,setup_pdf_op20
713-A42978-022,20,T25,Finish outline / M5x0.8 threadmill,10MM CHIP BREAKER END MILL AUS-A2003100,end_mill,10,3,35,40,,-9.4,,,,PP,CNC HAAS L,setup_pdf_op20
713-A42978-022,20,T25b,M5x0.8 threadmill,M5x0.8 THREADCHOB DIA3.9MM CL10MM,thread_mill,3.9,12,10,25,,-9.4,,,,PP,CNC HAAS L,setup_pdf_op20
713-A42978-022,20,T28,Spotdrill / chamfer,20MM SPOTDRILL FULL 90 DEG,spot_drill,20,2,50,100,,-3.0,,4000,,,PP,CNC HAAS L,setup_pdf_op20
713-A42978-022,30,T21,Rough pocket depth 6mm,16MM x CL50 x 3FL CHIPBREAKER GET,end_mill,16,3,50,100,,-7.7,,,1500,,5000,PP,CNC HAAS L,setup_pdf_op30_tl
713-A42978-022,30,T12,Rough step 3mm,10MM CHIP BREAKER ENDMILL AUS-A2003100,end_mill,10,3,35,40,,-11.9,,,1000,,5000,PP,CNC HAAS L,setup_pdf_op30_tl
713-A42978-022,30,T25,Finish outline D12 60mm,10MM x CL35 x 3FL CHIP BREAKER END MILL,end_mill,10,3,35,40,,-11.9,,,1500,,5000,PP,CNC HAAS L,setup_pdf_op30_tl
