part_number,job,order_qty,order_date,close_date,unit_price_rm,ext_price_rm,cost_ea_est_rm,cost_ea_act_rm,profit_ea_rm,material_total_rm,labor_total_rm,burden_total_rm,subcon_total_rm,ga_total_rm,total_run_min_pc,notes
0022-26609,COFAB-quote,1,,,USD 67.00,USD 67.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0022-26609,COFAB-quote,5,,,USD 44.00,USD 220.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0022-26609,COFAB-quote,10,,,USD 36.00,USD 360.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0022-26609,COFAB-quote,20,,,USD 32.00,USD 640.00,,,,,,,,,15.00,COFAB quote tier; class=Simple; part_type=cnc_milling; material=PEEK Natural; source=10 Sample part (COFAB).xlsx#0022-26609
0023-26807,COFAB-quote,1,,,USD 194.09,USD 194.09,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,2,,,USD 126.40,USD 252.80,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,5,,,USD 85.78,USD 428.90,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,10,,,USD 72.24,USD 722.40,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-26807,COFAB-quote,20,,,USD 65.47,USD 1309.40,,,,,,,,,90.00,COFAB quote tier; class=Complex; part_type=cnc_lathe_milling; material=PVC White; source=10 Sample part (COFAB).xlsx#0023-26807
0023-12036,COFAB-quote,1,,,USD 88.93,USD 88.93,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0023-12036,COFAB-quote,5,,,USD 44.10,USD 220.50,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0023-12036,COFAB-quote,10,,,USD 38.37,USD 383.70,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0023-12036,COFAB-quote,20,,,USD 35.34,USD 706.80,,,,,,,,,4.00,COFAB quote tier; class=Simple; part_type=cnc_lathe; material=Semitron ESD PEEK (480); source=10 Sample part (COFAB).xlsx#0023-12036
0042-93726,COFAB-quote,1,,,USD 66.50,USD 66.50,,,,,,,,,52.50,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (FMNS15, 0.5"" sheet); source=10 Sample part (COFAB).xlsx#0042-93726"
0042-93726,COFAB-quote,5,,,USD 42.09,USD 210.45,,,,,,,,,52.50,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (FMNS15, 0.5"" sheet); source=10 Sample part (COFAB).xlsx#0042-93726"
0042-93726,COFAB-quote,10,,,USD 33.96,USD 339.60,,,,,,,,,52.50,"COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (FMNS15, 0.5"" sheet); source=10 Sample part (COFAB).xlsx#0042-93726"
0042-83323,COFAB-quote,1,,,USD 395.79,USD 395.79,,,,,,,,,103.00,COFAB quote tier; class=Complex; part_type=assembly; material=PVC (multi-item weldment); sub_items=2; source=10 Sample part (COFAB).xlsx#0042-83323
0042-46169,COFAB-quote,1,,,USD 158.23,USD 158.23,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0042-46169,COFAB-quote,5,,,USD 81.57,USD 407.85,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0042-46169,COFAB-quote,10,,,USD 71.98,USD 719.80,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0042-46169,COFAB-quote,20,,,USD 67.20,USD 1344.00,,,,,,,,,77.00,COFAB quote tier; class=Complex; part_type=cnc_milling; material=PVC (multi-thickness); source=10 Sample part (COFAB).xlsx#0042-46169
0043-09967,COFAB-quote,1,,,USD 146.81,USD 146.81,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
0043-09967,COFAB-quote,5,,,USD 67.40,USD 337.00,,,,,,,,,50.00,"COFAB quote tier; class=Simple; part_type=cnc_milling; material=CPVC, 3mm CLR sheet; source=10 Sample part (COFAB).xlsx#0043-09967"
