part_number,rev,class,material,part_type,machines,order_qty,job,envelope_mm,stock_form,stock_size,removal_cc,n_ops,n_tools,n_features,unit_price_rm,cost_ea_rm_est,cost_ea_rm_act,material_pc_rm,total_run_min_pc,total_setup_hr,source_folder,notes
0022-26609,04,Simple,PEEK Natural,cnc_milling,"CNCV FAN V, CNCV FAN M, DEBUR, INSPECTLAB, FRONTKEN",1;5;10;20,COFAB-quote,,ROD/SHEET,"PEEK 0.75"" X 1FT X 1FT",,8,,,USD 67.00,,,,15.00,2.30,E:\data\10 Sample part (COFAB).xlsx#0022-26609,"COFAB quote (USD); pricing tiers per-qty: q1=$67.0, q5=$44.0, q10=$36.0, q20=$32.0"
0023-26807,04,Complex,PVC White,cnc_lathe_milling,"CNCTM TAK, DEBUR, CNCV FAN M, INSPECTLAB, ASSY3",1;2;5;10;20,COFAB-quote,,ROD,PVCWH 140MM DIA X 72MM ROD,,11,,,USD 194.09,,,,90.00,4.05,E:\data\10 Sample part (COFAB).xlsx#0023-26807,"COFAB quote (USD); pricing tiers per-qty: q1=$194.09, q2=$126.4, q5=$85.78, q10=$72.24, q20=$65.47"
0023-12036,01,Simple,Semitron ESD PEEK (480),cnc_lathe,"CNCL TAK, DEBUR, INSPECTLAB, FRONTKEN",1;5;10;20,COFAB-quote,,ROD,"Semitron ESD PEEK 5/8"" x 300MM (ROD-BLK)",,7,,,USD 88.93,,,,4.00,2.70,E:\data\10 Sample part (COFAB).xlsx#0023-12036,"COFAB quote (USD); pricing tiers per-qty: q1=$88.93, q5=$44.1, q10=$38.37, q20=$35.34"
0042-93726,02,Complex,"PVC (FMNS15, 0.5"" sheet)",cnc_milling,"EXXACT1616, DEBUR, CNCV FAN M, INSPECTIPQ, ASSY1, INSPECTASY, PKG CLN10K",1;5;10,COFAB-quote,,SHEET,"PVCFMNS15 0.5"" FM4910 SHT (PVC, 0.5"" THK, FMNS15)",,13,,,USD 66.50,,,,52.50,3.70,E:\data\10 Sample part (COFAB).xlsx#0042-93726,"COFAB quote (USD); pricing tiers per-qty: q1=$66.5, q5=$42.09, q10=$33.96"
0042-83323,05,Complex,PVC (multi-item weldment),assembly,"ASSY1, INSPECT, ASSY, WELD, ASSY3",1,COFAB-quote,,SHEET (multi),"Item 1: PVCTAK FMET4735A 0.5"" SHT (12.7mm) · Items 2-5: PVCTAK FMET4735A 0.375"" SHT (9.53mm)",,9,,,USD 395.79,,,,103.00,1.30,E:\data\10 Sample part (COFAB).xlsx#0042-83323,COFAB quote (USD); pricing tiers per-qty: q1=$395.79. Sub-items: 2
0042-46169,01,Complex,PVC (multi-thickness),cnc_milling,"CNCR EXACT, CNCV FAN M, DEBUR, ASSY1, INSPECTLAB, PKG CLN10K",1;5;10;20,COFAB-quote,,SHEET,"PVCTAK FMET4735A 1"" SHT + PVCTAK FMET4735A 0.25"" SHT (bonded multi-layer)",,12,,,USD 158.23,,,,77.00,2.70,E:\data\10 Sample part (COFAB).xlsx#0042-46169,"COFAB quote (USD); pricing tiers per-qty: q1=$158.23, q5=$81.57, q10=$71.98, q20=$67.2"
0043-09967,02,Simple,"CPVC, 3mm CLR sheet",cnc_milling,"CNCR EXACT, DEBUR, ASSY2, ASSY1, INSPECT, PKG CLN10K",1;5;10;20,COFAB-quote,,SHEET,"PVCTAK FMHS6650 0.1181"" SHEET (CPVC 3mm THK CLR FM4)",,9,,,USD 146.81,,,,50.00,1.50,E:\data\10 Sample part (COFAB).xlsx#0043-09967,"COFAB quote (USD); pricing tiers per-qty: q1=$146.81, q5=$67.4, q10=$57.47, q20=$54.89"
0042-88459,01,Simple,Semitron ESD 480 PEEK,cnc_milling,"CNCV FAN V, DEBUR, INSPECTIPQ, ASSY1, INSPECTASY, FRONTKEN",1;5;10;20,COFAB-quote,,BLANK (sheet-cut),"SEMITRON ESD 480 0.5"" X 300 X 300MM",,10,,,USD 120.88,,,,9.00,2.50,E:\data\10 Sample part (COFAB).xlsx#0042-88459,"COFAB quote (USD); pricing tiers per-qty: q1=$120.88, q5=$76.05, q10=$70.31, q20=$67.29"
0042-58555,02,Complex,PET-P (block),cnc_milling,"DNM 6700, DEBUR, KTM HX400, INSPECTIPQ, ASSY1, INSPECTASY, PKG CLN10K",1;3;5;10,COFAB-quote,,BLOCK,PET-P 20MM X 280MM X 400MM,,13,,,USD 340.04,,,,58.00,5.60,E:\data\10 Sample part (COFAB).xlsx#0042-58555,"COFAB quote (USD); pricing tiers per-qty: q1=$340.04, q3=$167.24, q5=$132.68, q10=$112.17"
0042-51782,04,Simple,PET White,cnc_milling,"DNM 57004X, DEBUR, INSPECTIPQ, ASSY1, INSPECTASY, FRONTKEN, INSPECTOQC",3;5;10;20,COFAB-quote,,BLANK,PET WHT 60MM THK X 200MM X 70MM,,13,,,USD 68.51,,,,36.00,3.60,E:\data\10 Sample part (COFAB).xlsx#0042-51782,"COFAB quote (USD); pricing tiers per-qty: q3=$68.51, q5=$56.45, q10=$47.25, q20=$42.48"
839-323453-001,A01,Complex,Unknown (customer-supplied blank F115-00616-00 REVA; Ti hardware suggests metallic substrate),cnc_milling,"KTM HX400, DEBUR, INSPECT, INSPECTIPQ, ASSY1, INSPECTLAB",1;5;10;20;50,COFAB-quote,,BLANK (customer supplied),Customer blank F115-00616-00 REVA,,12,,,USD 1498.53,,,,116.00,3.20,E:\data\2 Sample part (COFAB).xlsx#839-323453-001-A01-FAP,"COFAB quote (USD); pricing tiers per-qty: q1=$1498.53, q5=$1321.05, q10=$1298.87, q20=$1287.78, q50=$1281.12"
0041-28291,05,Complex,"PVC Grey, 1.5"" thick",cnc_milling,"EXXACT1616, DEBUR, INSPECTIPQ, ASSY1, INSPECTASY, PKG CLN10K",1;5;10;20;50,COFAB-quote,,SHEET (custom blank cut),FAP12462 REV00 = PVCGRY 1.5THK CUT SIZE for 0041-28291,,12,,,USD 491.62,,,,137.00,2.40,E:\data\2 Sample part (COFAB).xlsx#0041-28291 REV05,"COFAB quote (USD); pricing tiers per-qty: q1=$491.62, q5=$420.93, q10=$412.1, q20=$407.68, q50=$405.03"
