part_number,op,machine,feature,operation_type,cut_sum_min,n_tools,source
0021-53926,10,Fanuc Robodrill L T21iFLb,"Face, Step, Pocket",cnc_milling,29.03,7,kb_data_xlsx_2026-05-22
0021-53926,20,Fanuc Robodrill L T21iFLb,"Face, Pocket, Chamfer",cnc_milling,56.43,10,kb_data_xlsx_2026-05-22
0021-53926,30,Fanuc Robodrill L T21iFLb,"Step, Pocket, Drilled Hole, Thread",cnc_milling,16.42,7,kb_data_xlsx_2026-05-22
0021-53926,40,Fanuc Robodrill L T21iFLb,"Pocket, Chamfer",cnc_milling,37.98,14,kb_data_xlsx_2026-05-22
0021-53926,50,Fanuc Robodrill L T21iFLb,"Step, Chamfer",cnc_milling,33.6,10,kb_data_xlsx_2026-05-22
0022-09112,10,Fanuc Robodrill L T21iFLb,"Face, Boss, Chamfer",cnc_milling,13.12,4,kb_data_xlsx_2026-05-22
0022-42143,10,Fanuc Robodrill M A-D21Lib,"Face, Through Hole, Counterbore, Radius, Chamfer",cnc_milling,5.87,11,kb_data_xlsx_2026-05-22
0022-42143,20,Fanuc Robodrill M A-D21Lib,"Face, Counterbore, Chamfer",cnc_milling,4.73,5,kb_data_xlsx_2026-05-22
0022-42143,9,Anderson EXXACT PLUS/TC,Face,cnc_milling,3.23,2,kb_data_xlsx_2026-05-22
0023-12637,10,Nakamura-Tome SC-300,"Lathe OD, Drilled Hole, Lathe ID",cnc_lathe_milling,0.0,11,kb_data_xlsx_2026-05-22
0023-12637,20,Takisawa NEX-108Y,"Lathe OD, Through Hole",cnc_lathe_milling,0.0,4,kb_data_xlsx_2026-05-22
0042-15176,10,Fanuc Robodrill L T21iFLb,Face,cnc_milling,40.23,4,kb_data_xlsx_2026-05-22
0042-15176,20,Fanuc Robodrill L T21iFLb,"Step, Boss, Fillet, Drilled Hole",cnc_milling,12.33,8,kb_data_xlsx_2026-05-22
0042-15176,30,Fanuc Robodrill L T21iFLb,"Drilled Hole, Thread, Pocket, Blind Hole, Face, Boss, Undercut, Through Hole, Fillet",cnc_milling,72.02,22,kb_data_xlsx_2026-05-22
0200-02605,10,Takisawa NEX-108Y,"Lathe OD, Drilled Hole, Thread, Groove, Face",cnc_lathe_milling,5.32,14,kb_data_xlsx_2026-05-22
16-408773-00,10,Fanuc Robodrill L T21iFLb,"Face, Fillet, Blind Hole, Drilled Hole, Chamfer, Boss, Pocket",cnc_milling,110.88,35,kb_data_xlsx_2026-05-22
16-408773-00,20,Doosan DNM5700,"Blind Hole, Face, Fillet, Pocket, Chamfer, Undercut, Countersink, Through Hole, Drilled Hole, Thread",cnc_milling,115.38,45,kb_data_xlsx_2026-05-22
713-142958-001,10,Doosan LYNX 2100LSYB,"Lathe face, Lathe OD, Drilled Hole, Lathe ID, Chamfer turn, Cut off",cnc_lathe,0.0,10,kb_data_xlsx_2026-05-22
713-187739-236,10,Makino PS95,"Face, Step, Undercut, Pocket",cnc_milling,2.28,6,kb_data_xlsx_2026-05-22
713-187739-236,20,Doosan DNM5700,"Face, Drilled Hole, Boss, Blind Hole, Pocket, Fillet, Step, Through Hole, Thread, Chamfer, Debur",cnc_milling,35.37,53,kb_data_xlsx_2026-05-22
713-187739-236,30,Doosan DNM5700,"Face, Pocket, Fillet, Through Hole, Blind Hole, Chamfer",cnc_milling,23.6,41,kb_data_xlsx_2026-05-22
713-A51655-001,10,Anderson EXXACT PLUS/TC,Face,cnc_milling,2.27,4,kb_data_xlsx_2026-05-22
713-A51655-001,20,Fanuc Robodrill M D21MiA,Drilled Hole,cnc_milling,0.37,6,kb_data_xlsx_2026-05-22
