part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source,cut_time_s,cut_min
713-187739-236,10,1,Face (Roughing),C-RF-80 MM-45DEG LEAD-FACEMILL,face_mill,80,4,10,50,,800,,5000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,33,0.55
713-187739-236,10,2,Face (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4500,,10000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,36,0.6
713-187739-236,10,3,Face (Finishing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,2000,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,10,0.167
713-187739-236,10,4,Step (Finishing),10 MM X 35-2FL-CHIP BREAKER-END MILL,end_mill,10,2,35,40,,1000,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,9,0.15
713-187739-236,10,5,Undercut (Finishing),12MM X60DEG DOVETAIL-FAP11481,dovetail,12,4,6,25,,400,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,22,0.367
713-187739-236,10,6,Pocket (Finishing),C-RF-3 MM X 10-2FL-UNC-END MILL,end_mill,3,2,10,25,,600,,6000,,,PEEK,Makino PS95,kb_data_xlsx_2026-05-22,27,0.45
713-187739-236,20,1,Face (Roughing),C-RF-80 MM-45DEG LEAD-FACEMILL,face_mill,80,4,10,50,,800,,5000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,33,0.55
713-187739-236,20,2,Face (Finishing),C-F-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,600,,5500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,6,0.1
713-187739-236,20,3,Drilled Hole (Roughing),C-RF-12 MM X 90 DEG-4FL-UNC-CHAMFER MILL,chamfer_mill,12,4,6,40,,300,,3500,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,2,0.033
713-187739-236,20,4,Drilled Hole (Finishing),9.6MMCARBIDE DRILLCL45TL90,drill,9.6,2,45,50,,200,,1000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,11,0.183
713-187739-236,20,5,Drilled Hole (Finishing),9.6MMCARBIDE DRILLCL45TL90,drill,9.6,2,45,50,,200,,1000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,19,0.317
713-187739-236,20,6,Boss (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,88,1.467
713-187739-236,20,7,Boss (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,56,0.933
713-187739-236,20,8,Boss (Roughing),20MM CL40NL10-FL3-TL100-CHIP BREAKER,end_mill,20,2,40,55,,4000,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,30,0.5
713-187739-236,20,9,Boss (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2000,,6000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,18,0.3
713-187739-236,20,10,Boss (Roughing),C-RF-10 MM X 35-2FL-UNC-END MILL,end_mill,10,2,35,40,,2600,,10000,,,PEEK,Doosan DNM5700,kb_data_xlsx_2026-05-22,30,0.5
