part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date,order_qty,order_date,close_date,unit_price_rm,ext_price_rm,cost_ea_est_rm,cost_ea_act_rm,profit_ea_rm,material_total_rm,labor_total_rm,burden_total_rm,subcon_total_rm,ga_total_rm,total_run_min_pc,notes
0020-46358,3466R40,10,CNCR EXACT,CNCR EXACT 1616,0.30,0.30,3.27,3.27,4.00,71.40,32.13,3.57,646.17,181,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,20,CNCR EXACT,CNCR EXACT 1616,0.30,1.00,8.98,9.41,11.52,185.60,88.89,10.41,1884.21,181,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,25,CNCV FAN M,CNCV FAN M,0.30,1.31,1.63,1.60,1.96,38.60,26.57,2.91,357.93,123,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,30,CNCV FAN M,CNCV FAN M,0.50,5.00,8.17,10.50,12.86,173.40,149.68,15.50,1906.50,123,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,40,CNCV FAN M,CNCV FAN M,0.50,1.50,28.58,28.57,35.02,581.60,299.26,30.07,3698.61,123,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,800,DEBUR,DEBUR,0.10,0.00,4.08,1.77,2.17,50.16,14.04,1.77,127.44,72,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,810,DEBUR,DEBUR,0.10,0.00,4.08,4.40,5.39,50.16,34.89,4.40,316.80,72,49,03-Jul-25,,,,,,,,,,,,,,,
0020-46358,3466R40,820,PART MARK,PART MARK,0.10,0.00,1.63,1.68,2.06,20.76,16.14,1.68,120.96,72,49,03-Jul-25,,,,,,,,,,,,,,,
0020-64722,4876R54,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,,,, 203,,,,,,,,,,,,,,,,
0020-64722,4876R54,10,LYNX 26Y,LYNX 2600Y (Turnmill),0.75,1.00,16.92,16.85,4.98,353.40,268.23,17.85,3213.00,180,203,,,,,,,,,,,,,,,,
0020-64722,4876R54,20,CNCV FAN M,CNCV Fanuc Milling,0.50,1.30,5.08,5.08,1.50,111.60,74.26,6.38,784.74,123,203,,,,,,,,,,,,,,,,
0020-64722,4876R54,800,DEBUR,,0.10,0.00,6.77,3.55,1.05,82.44,28.40,3.55,255.60,72,203,,,,,,,,,,,,,,,,
0020-64722,4876R54,30,DNM 57004X,DOOSAN DNM 5700 4-Axis VMC,1.00,1.00,20.30,20.30,6.00,426.00,255.10,21.30,3344.10,157,203,,,,,,,,,,,,,,,,
0020-64722,4876R54,999,INSPECTASY,,0.10,0.00,20.30,4.78,1.41,306.00,43.02,4.78,473.22,,203,,,,,,,,,,,,,,,,
0021-53926,3711R49,05,PLANNING,,0.40,0.00,0.00,0.00,,14.00,0.00,,,,40,,,,,,,,,,,,,,,,
0021-53926,3711R49,10,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,22.67,22.66,34.00,463.40,219.27,23.16,2848.68,123,40,,,,,,,,,,,,,,,,
0021-53926,3711R49,20,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,40.00,40.00,60.00,810.00,373.97,40.50,4981.50,123,40,,,,,,,,,,,,,,,,
0021-53926,3711R49,30,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,12.00,12.00,18.00,250.00,118.55,12.50,1537.50,123,40,,,,,,,,,,,,,,,,
0021-53926,3711R49,40,CNCV FAN M,CNCV Fanuc L (Milling),1.50,1.50,30.00,30.00,45.00,630.00,300.20,31.50,3874.50,123,40,,,,,,,,,,,,,,,,
0021-53926,3711R49,50,CNCV FAN M,CNCV Fanuc L (Milling),0.50,0.50,26.67,30.62,40.83,543.40,188.79,31.12,3827.76,123,45,,,,,,,,,,,,,,,,
0021-53926,3711R49,800,DEBUR,,0.10,0.00,10.00,3.67,5.81,121.20,0.00,3.67,264.24,72,39,,,,,,,,,,,,,,,,
0021-55284,2990R30,05,PLANNING,,0.50,0.00,0.00,0.00,,17.50,0.00,0.50,0.00,,44,20-Aug-25,,,,,,,,,,,,,,,
0021-55284,2990R30,10,CNCL TAK,NEX-110Y (TAK),1.50,1.50,4.40,4.40,6.00,118.00,53.10,5.90,666.70,113,44,20-Aug-25,,,,,,,,,,,,,,,
0021-55284,2990R30,20,CNCL TAK,NEX-110Y (TAK),0.50,0.50,3.67,3.67,5.00,83.40,0.00,4.17,471.21,113,44,20-Aug-25,,,,,,,,,,,,,,,
0021-55284,2990R30,40,CNCV FAN M,,0.30,1.50,3.67,3.67,5.00,79.40,49.69,3.97,488.31,123,44,20-Aug-25,,,,,,,,,,,,,,,
0021-55284,2990R30,800,DEBUR,,0.00,0.00,3.67,3.28,4.47,44.04,26.24,3.28,236.16,72,44,20-Aug-25,,,,,,,,,,,,,,,
0021-55284,2990R30,50,CNCV FAN M,,0.30,1.00,2.57,2.57,3.50,57.40,37.43,2.87,353.01,123,44,20-Aug-25,,,,,,,,,,,,,,,
0021-55284,2990R30,810,DEBUR,,0.00,0.00,3.67,3.67,5.00,44.04,29.10,3.67,264.24,72,44,20-Aug-25,,,,,,,,,,,,,,,
