part_number,op,machine,feature,operation_type,seq_index,run_min_pc_est,run_min_pc_act,nc_est_min,nc_calib_k,n_tools,notes
0020-46358,10,CNCR EXACT 1616/STRATOS,fly surface + dovetail + slot + outline,cnc_milling,1,4.00,4.00,4.11,1.02,4,NC OP10 router 28.8 min total / 7pc per run (approx) = 4.11 min/pc
0020-46358,20,CNCV FAN M,step pocket + finish profile + NPT helix pre,cnc_milling,2,11.00,11.52,36.85,,8,NC OP20 2PCS file 73.7 min / 2 = 36.85 min — this is combined OP20+OP40 equivalent; split between 20/30/40 in job cost
0020-46358,25,CNCV FAN M,short setup/facing op,cnc_milling,3,2.00,1.96,,,3,Very short op (RM26 labor actual); function uncertain — likely facing/prep
0020-46358,30,CNCV FAN M,NPT thread mill + profiles,cnc_milling,4,10.00,12.86,,,8,NC file 3449 OP30 = 5.5 min only (partial); actual 12.86 from Job Cost
0020-46358,40,CNCV FAN M,equal scallop surface + final profile + chamfers,cnc_milling,5,35.00,35.02,36.85,1.05,10,NC OP20 2PCS 73.7/2=36.85 vs actual 35.02 → k=1.05 (CNCV FAN M)
0020-64722,10,LYNX 26Y,Turn OD + mill step + part,cnc_lathe_milling,1,4.98,4.98,,, 7,Setup sheet cycle 4MIN matches Job Cost run 4.98min/pc well
0020-64722,20,CNCV FAN M,Fly face + T-slot groove,cnc_milling,2,1.50,1.50,0.38,,2,NC OP20 5PC est 1.9min/5=0.38min/pc vs actual 1.50 -> k=3.9 unreliable (NC only 2 short ops); setup sheet cycle=1min39s~1.65min
0020-64722,30,DNM 57004X,Drill/ream/tap small holes (4-axis HRT),cnc_milling,3,6.00,6.00,40.8,,9,NC est 40.8min dominated by reamer (T25 F=25 RPM=500 long dwell) and 1.6mm drill; actual only 6min/pc -> NC over-estimates for tapping/reaming cycles; setup sheet total=18min45s vs 6min actual suggests NC cycle time shown per-job not per-pc; not reliable for k
0021-53926,10,CNCV FAN L,OD mill + face + slot,cnc_milling,1,34.00,34.00,30.1,1.13,7,Setup sheet stated 29:05 cycle; NC est 30.1min; actual 34.0 -> k=1.13
0021-53926,20,CNCV FAN L,Face + pocket rough/finish + OD + 45deg slots + chamfer,cnc_milling,2,60.00,60.00,57.5,1.04,9,Setup sheet stated 56:30 cycle; NC est 57.5min; actual 60.0 -> k=1.04
0021-53926,30,CNCV FAN L,Face + slot + M5 thread mill,cnc_milling,3,18.00,18.00,17.6,1.02,7,Setup sheet stated 16:30 cycle; NC est 17.6min; actual 18.0 -> k=1.02
0021-53926,40,CNCV FAN L,Slots + pocket finish + 45deg gap finish + chamfers,cnc_milling,4,45.00,45.00,38.8,1.16,7,Setup sheet stated 38:05 cycle; NC est 38.8min; actual 45.0 -> k=1.16; difference possibly rework or cautious feeds
0021-53926,50,CNCV FAN L,12deg angle mill + OD finish + chamfers + engrave,cnc_milling,5,40.83,40.83,36.6,1.11,8,Setup sheet stated 35:32 cycle; NC est 36.6min; actual 40.8 -> k=1.11; 1 scrap piece in this op
0021-55284,10,CNCL TAK,OD turn + bore + parting,cnc_lathe,1,6.00,6.00,,, 3,Hard jaws; cut len 31mm; stopper+OD 80+OD 35+parting; estimates matched actuals
0021-55284,20,CNCL TAK,OD finish backside,cnc_lathe,2,5.00,5.00,,, 2,Soft jaws flip; cut len 10mm; OD rough+finish back; estimates matched actuals
0021-55284,40,CNCV FAN M,Arc profile pattering,cnc_milling,3,5.00,5.00,3.95,1.27, 1,G54+G55 2-PC fixture; NC raw=7.9 min/1pc → /2=3.95; actual=5.00; k=1.27; setup 5× overrun
0021-55284,50,CNCV FAN M,C'bores + holes,cnc_milling,4,3.50,3.50,3.30,1.06, 4,Ø4.6 drill + cbore Ø0.312 both ends; NC=3.3 min actual=3.5 k=1.06
0022-09112,10,CNCTM TAK,Fly face + OD turn/mill Ø68,cnc_lathe_milling,1,4.00,4.00,,,4,Setup sheet shows 33:19 cycle for what appears to be single-pc CNCV FAN V (milling-only) program; Job Cost actual 4.0min/pc on CNCTM TAK (turn+mill) suggests different/faster routing was used in production vs the obsolete milling setup sheet
0022-09112,20,CNCTM TAK,Bore pocket + inner features + mark,cnc_lathe_milling,2,18.00,18.00,,,, No separate setup sheet for OP20; derived from Job Cost; CNCTM TAK likely did bore/pocket interior features
0022-26284,10,CNCV FAN V,Full profile + face + slot (10pc transform),cnc_milling,1,12.00,12.00,6.97,1.72, 6,10-PC vacuum transform; NC=69.7 min/10=6.97 per pc; actual=12.0; k=1.72; includes flip-face
0022-27201,10,CNCL TAK,OD turn + flange + bore + part-off,cnc_lathe,1,8.00,8.00,,, 3,Ø10 rod; hard jaws; setup massively over-ran 0.5→3.75 hr
0022-27201,20,CNCV MAK,Rough+finish surface + profile relief,cnc_milling,2,1.53,1.00,0.38,2.63, 2,16pc/lot J579 fixture; NC/lot=6.1 min /16=0.38 pc; actual ~1.0 min/pc using QtyRun=156; k≈2.6
0022-27201,30,CNCV MAK,4x slitting saw slots pass 1,cnc_milling,3,1.53,1.00,0.52,1.92, 1,45mm slitting saw 0.9mm wide F=50 mm/min; 4 slots per part
0022-27201,40,CNCV MAK,4x slitting saw slots pass 2 (higher feed),cnc_milling,4,1.53,1.00,0.36,2.78, 1,Same saw at F=75 mm/min; finish pass of slots
0022-42142,10,CNCL TAK NEX-110Y,OD rough+finish + parting (front),cnc_lathe,1,1.50,1.50,,, 3,Hard jaws; stopper+OD 80+OD35+parting; cut len 31mm; setup sheet cycle 4 min (overstated)
0022-42142,20,CNCL TAK NEX-110Y,OD rough+finish backside,cnc_lathe,2,1.50,1.50,,, 2,Soft jaws flip; cut len 10mm; estimate=actual; fast repeat job
