part_number,rev,class,material,part_type,machines,order_qty,job,envelope_mm,stock_form,stock_size,removal_cc,n_ops,n_tools,n_features,unit_price_rm,cost_ea_rm_est,cost_ea_rm_act,material_pc_rm,total_run_min_pc,total_setup_hr,source_folder,notes
0020-46358,06,Simple,PP NPP,cnc_milling,"CNCR EXACT, CNCV FAN M",49,3466R40,~184x63x51,SHEET,NPP 60MM SHEET NAT,,5,~30,~10,243.79,239.49,234.80,20.25,65.4,9.11,OneDrive_2026-05-14/.../0020-46358,3 VMC ops (OP25/30/40 CNCV FAN M); OP40 equal-scallop+NPT thread dominates 35 min/pc; setup overran 9.1 vs 2.9 hr (rev change); NC k=1.05 OP20 2PCS
0020-64722,03,Complex,PEEK Natural,cnc_lathe_milling,"LYNX 26Y, CNCV FAN M, DNM 57004X",203,4876R54,~155x19x19 (Ø19.05 rod),ROD,Ø0.75in (Ø19.05mm) x ~34.5mm/pc,~5,3,7,~10,166.47,91.03,73.81,22.45,12.48,3.30,PEEK/0020-64722,Services (AMAT clean) RM14/pc included in cost; 0020-64722 is a turned finger part with V-groove and tapped holes; NC OP20 5PC & OP30 HRT both give unreliable k (NC very short vs actual); Customer=Ultra Clean Technology; Profit/EA RM92.66
0021-53926,07,Complex,PEEK Nonfilled,cnc_milling,CNCV FAN M,40,3711R49,369x51x16 mm,PLATE,16×51×369mm,~115,5,15,~20,1205.19,994.48,1021.92,488.58,197.8,4.00,PEEK/0021-53926,Customer=Ultra Clean Micro-Electronics Equipment; 5 VMC ops all on CNCV FAN L; special 45-deg angle cutter (T18); NC k_avg~1.09 (CNCV FAN M); cleaning service RM11.84/pc; Completed 38/40; OP50 scrap 1pc
0021-55284,04,Simple,PEEK 450GL30 (30% GF),cnc_lathe_milling,CNCL TAK; CNCV FAN M,44,2990R30,arc Ø80×~44mm,ROD,Ø80 mm,~190,4,10,8,456.37,271.46,269.04,194.96,28.99,4.50,Simple Part (PEEK DELRIN PP)/PEEK/0021-55284,Arc clamp half-ring; GL30 glass-filled; AMAT clean svc RM5.71/pc; OP40 setup over-ran 5× (1.5 hr vs 0.3 est); drawing in inches; 2PC OP40 (G54+G55); k_OP40≈1.27 k_OP50≈1.06
0022-09112,04,Complex,PEEK Virgin,cnc_lathe_milling,CNCTM TAK,18,3335R16,Ø68×15mm disc,ROD,Ø2.75in (Ø69.85mm) x ~27.8mm/pc,~32,2,4,~8,286.43,244.41,238.72,101.39,22.00,4.00,PEEK/0022-09112,Customer=Applied Materials SE Asia; disc/ring shape (Ø68 OD pocket Ø56.2 bore Ø53.7/53.72); CNCTM TAK rate RM180/hr; NC only in OBSOLETE (6PC milling router program not applicable to actual turn-mill routing); no BOM
0022-26284,03,Simple,PEEK unfilled,cnc_milling,CNCV FAN V,10,2965R23,220×116×12mm,SLAB,220×116×15.875mm (0.625in slab),~200,1,6,7,236.51,117.85,121.07,44.73,12.00,1.50,Simple Part (PEEK DELRIN PP)/PEEK/0022-26284,Align jig thin plate; 10-PC vacuum transform; k_CNCV_FAN_V≈1.72; debur actual 7.6 min/pc vs 3.0 est; customer AMAT
0022-27201,03,Simple,PEEK 450G unfilled,cnc_lathe_milling,CNCL TAK; CNCV MAK,102,5645R26,Ø10×~20mm,ROD,Ø10 mm,~1.0,4,3,7,115.04,50.49,45.37,1.45,10.00,5.35,Simple Part (PEEK DELRIN PP)/PEEK/0022-27201,Snap pin with 4 slitting-saw slots; J579 custom fixture; 16pc/lot VMC; QtyRun 156 anomaly (not 102); OP10 lathe setup 3.75 hr vs 0.5 est; material only RM1.45/pc
0022-42142,02,Simple,PEEK 450G unfilled,cnc_lathe,CNCL TAK (NEX-110Y),56,5453R09,Ø13×38mm,ROD,Ø15.875mm (5/8in),~4.9,2,3,4,70.04,23.63,19.11,6.00,3.00,0.20,Simple Part (PEEK DELRIN PP)/PEEK/0022-42142,Actuator pin; pure lathe 2-OP NEX-110Y; tight ±0.05mm; near-pair with 0022-42143; setup under-ran (0.20 act vs 0.90 est); highest profit% in batch
0022-42143,02,Simple,PEEK 450G unfilled,cnc_milling,CNCR EXACT; CNCV FAN V; CNCV FAN M,36,5454R13,~34×30×11mm,SLAB,PEEK 0.5in sheet (12.7mm),~225,3,15,6,135.33,83.36,89.55,34.38,12.80,2.00,Simple Part (PEEK DELRIN PP)/PEEK/0022-42143,Actuator cover; 3-machine routing; near-pair with 0022-42142 (LID INTERLOCK MR1237); PKG over-ran 4×; k_Anderson≈1.82 k_FAN_V≈2.06 k_Robodrill≈2.28; cost over-ran est by RM6/pc
0022-49255,04,Simple,PEEK natural,cnc_milling,"CNCR STRAT, CNCV FAN V, CNCV FAN M",72,8441R06,65×18×12.7,PLATE,PEEK NAT 0.625in SHT 2.62sqft/job,3.7,3,11,6,212.62,100.48,90.13,50.94,12.0,2.80,Simple Part (PEEK)/PEEK/0022-49255,k_op10=1.58 (6PC NC); sheet stock; big profit margin; Applied Materials customer
0022-63955,02,Simple,PEEK natural,cnc_lathe_milling,LYNX 21 LYSB,30,8803R10,Ø41.94×~47,ROD,PEEK NAT 1.75in Ø44.45mm 6.56ft/job,~50,1,15,10,329.14,174.76,169.41,71.46,22.0,3.50,Simple Part (PEEK)/PEEK/0022-63955,single-op lathe-mill sub-spindle; NC not available; NRE $2161.50 fixtures; setup overrun 2→3.5hr
0022-75931,02,Simple,PEEK natural,cnc_lathe,CNCL TAK,267,7675R09,Ø12.00×10.0,ROD,PEEK 5/8in Ø15.875mm 9.84ft/job,1.6,1,~3,3,20.86,22.46,13.86,1.89,3.50,1.00,Simple Part (PEEK)/PEEK/0022-75931,high-qty ring spacer; no setup sheet or NC available; estimate over-costed DEBUR/INSPECT; Benchmark Electronics customer
