part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source
0020-46358,10,1,fly surface / dovetail step,C-RF-19.05MM X 64-2FL-UNC-END MILL ONSRUD-52-724,end_mill,19.05,2,50.8,70.0,-5.0,2500,,6500,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,10,4,slot,C-RF-6MM X 25-2FL-UNC-END MILL ONSRUD-PCL590166,end_mill,6,2,25.0,35.0,-3.175,750,,6000,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,10,5,dovetail,FAP-11481 12MM X60DEG DOVETAIL,dovetail_mill,12,4,6.0,25.0,-3.175,600,,5000,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,10,6,outline rough,12MM ENDMILL CL55 ONSRUD-52-746,end_mill,12,2,55.0,65.0,-60.0,1800,,6500,,,PP NPP,CNCR EXACT 1616,setup_sheet
0020-46358,20,1,datum check profile,C-RF-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-1.0,1500,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,2,fly surface Z0,C-RF-80MM 45DEG FACEMILL AFE45-4080R4,face_mill,80,4,10.0,50.0,0.0,800,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,3,rough pocket step,C-RF-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-20.705,2500,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,4,semifinish wall,C-F-6MM X 25-2FL-UNC-END MILL ONSRUD-PCL590166,end_mill,6,2,25.0,35.0,-20.705,800,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,5,finish floor pocket,C-F-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-20.955,750,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,7,rough profile,C-RF-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-51.0,2500,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,8,finish profile,C-F-12MM X 55-2FL-UNC-END MILL ONSRUD-52-746,end_mill,12,2,55.0,70.0,-51.0,800,,5000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,20,9,chamfer Z0,C-F-3MM X 90DEG-2FL-UNC-CHAMFER MILL GET-S2DSO-090-03U,chamfer_mill,3,2,5.0,25.0,-0.58,1000,,6000,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,1,pre-bore Ø15 thru,C-RF-10MM X 35-2FL-UNC-END MILL ONSRUD-PCL590167,end_mill,10,2,35.0,40.0,-36.005,1500,,4500,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,2,helix bore Ø23.4 NPT,C-RF-10MM X 35-2FL-UNC-END MILL ONSRUD-PCL590167,end_mill,10,2,35.0,40.0,-40.355,1200,,4500,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,3,3/4-14 NPT thread mill pass1,TM-490-20 (12.7MM NPT thread mill),thread_mill,12.7,4,2.0,38.0,-40.604,400,,4500,,,PP NPP,CNCV FAN M,setup_sheet
0020-46358,30,4,3/4-14 NPT thread mill pass2,TM-490-20 (12.7MM NPT thread mill),thread_mill,12.7,4,2.0,38.0,-40.604,400,,4000,,,PP NPP,CNCV FAN M,setup_sheet
0020-64722,10,N1,Stopper/datum,OD Turn 80deg,turning insert,,,31,48,,,,2000,,,,LYNX 26Y,xls_setup
0020-64722,10,N2,OD rough,OD Turn 80deg (CNGG120404-MJ HTi10),turning insert,,,31,48,,,0.25,2000,,,,LYNX 26Y,xls_setup
0020-64722,10,N3,OD finish + back chamfer,OD Turn 35 (VCGX110302-LC),turning insert,,,29,33,,,0.06,1000,,,,LYNX 26Y,xls_setup
0020-64722,10,N4 N5,Mill rough + semi-finish step,10mm Endmill 2FL,end_mill,10,2,28.5,40,,200,,1000,,,,LYNX 26Y,xls_setup
0020-64722,10,N6,Mill step finish,12mm Endmill 2FL,end_mill,12,2,28.5,75,,200,,2000,,,,LYNX 26Y,xls_setup
0020-64722,10,N7,Back chamfer,OD Turn 35 (finish),turning insert,,,29,33,,,,1000,,,,LYNX 26Y,xls_setup
0020-64722,10,N8,Parting,Parting (WARK TDJ7D TT9030),parting insert,,,32,48,,,0.08,1000,,,,LYNX 26Y,xls_setup
0020-64722,20,1,Fly top face height control 1.080in,16mm Endmill 2FL ONSRUD,end_mill,16,2,35,50,-27.43,750,,6000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,20,2,FAP11430 T-slot cutter,FAP11430 T-Slot Cutter,t_slot,14,4,4.27,30,-22.57,500,,6000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,1,2mm flat EM (drill entry),2mm Flat End Mill,end_mill,2,4,15,25,-21.08,100,,3000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,2,Drill 2.3mm for 4-40UNC,2.3mm Carbide Drill CL20 Dura,drill,2.3,2,20,25,-21.08,100,,3000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,3,Tap 4-40UNC,4-40UNC CL-20 Spiral Tap Dura,tap,2.845,2,20,25,-21.08,190.5,,300,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,4,Entry hole / helix bore 1.2mm,1.2mm End Mill CL5 NL6-SHD3-TP30-2F,end_mill,1.2,2,4,25,-72.5,150,,6000,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,5,Carbide drill 1.6mm,Carbide Drill 1.6mm Dura,drill,1.6,2,12,20,-65.47,30,,3500,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,6,Ream 1.778mm bore,Carbide Reamer 1.778 CL8.5 Shk3 TL50 YOCON,reamer,1.778,6,8.5,30,-67.69,25,,500,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,7,Spotdrill for 3.5mm,12mm Spot Drill 90deg 2F,spot_drill,12,2,20,40,-72.75,100,,3500,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,8,Drill 3.5mm for 8-32UNC,3.5mm Drill,drill,3.5,2,18,28.5,-61.79,100,,3500,,,PEEK,DNM 5700 4X,pdf_setup
0020-64722,30,9,Tap 8-32UNC,8-32 UNC Tap,tap,4.166,2,25,30,-63.09,238.125,,300,,,PEEK,DNM 5700 4X,pdf_setup
